Time,MM,DD,hh,T_dry,T_wb,w,P,RH,T_dp,ghi,dni,dhi,v_wind
2002/06/29 @ 07:00:00,6,29,7,25.2,23.78,0.018111271652021935,100.85,0.89,23.26,93.78,136,60,0.9
2002/06/29 @ 08:00:00,6,29,8,26.9,24.88,0.0191589038408426,100.8,0.85,24.16,192.38,78,156,1.2
2002/06/29 @ 09:00:00,6,29,9,27.7,24.77,0.01864639491517538,100.8,0.79,23.73,303.35,88,246,1.0
2002/06/29 @ 10:00:00,6,29,10,28.2,24.64,0.018213805156626958,100.8,0.75,23.35,410.28,109,324,1.0
2002/06/29 @ 11:00:00,6,29,11,29.8,25.32,0.018661714500875,100.8,0.7,23.74,521.87,163,379,0.9
2002/06/29 @ 12:00:00,6,29,12,30.0,24.83,0.017774107149156237,100.78,0.66,22.96,607.38,238,393,1.5
2002/06/29 @ 13:00:00,6,29,13,30.6,24.85,0.017553658319707247,100.76,0.63,22.76,613.03,269,381,2.7
2002/06/29 @ 14:00:00,6,29,14,30.9,25.29,0.018157600670305418,100.74,0.64,23.3,543.81,243,358,3.8
2002/06/29 @ 15:00:00,6,29,15,29.6,24.47,0.01735853491959055,100.74,0.66,22.58,415.7,169,312,2.5
2002/06/29 @ 16:00:00,6,29,16,28.8,24.08,0.0170689310556148,100.73,0.68,22.31,245.7,66,218,1.5
2002/06/29 @ 17:00:00,6,29,17,27.3,23.65,0.017018774704628457,100.73,0.74,22.27,116.89,30,111,0.7
2002/06/29 @ 18:00:00,6,29,18,26.4,23.26,0.016789779684619914,100.81,0.77,22.05,24.0,18,24,0.9
2002/06/29 @ 19:00:00,6,29,19,26.1,23.55,0.017367403302318382,100.9,0.81,22.59,0.0,0,0,1.1
2002/06/29 @ 20:00:00,6,29,20,25.5,23.54,0.01759448759127989,100.99,0.85,22.8,0.0,0,0,1.5
2002/06/29 @ 21:00:00,6,29,21,25.3,23.35,0.01738068959411926,101.02,0.85,22.6,0.0,0,0,1.4
2002/06/29 @ 22:00:00,6,29,22,24.7,23.3,0.017563952954742938,101.05,0.89,22.77,0.0,0,0,1.3
2002/06/29 @ 23:00:00,6,29,23,24.2,23.2,0.017621995425953225,101.08,0.92,22.82,0.0,0,0,1.1
2002/06/30 @ 00:00:00,6,30,0,24.2,23.07,0.01742508550902133,101.04,0.91,22.64,0.0,0,0,1.4
2002/06/30 @ 01:00:00,6,30,1,24.3,23.17,0.01753286790256534,101.0,0.91,22.74,0.0,0,0,1.6
2002/06/30 @ 02:00:00,6,30,2,24.4,23.01,0.017242783732121444,100.96,0.89,22.47,1.0,0,1,1.8
2002/06/30 @ 03:00:00,6,30,3,24.0,22.62,0.016822813228629982,100.95,0.89,22.08,0.0,0,0,1.2
2002/06/30 @ 04:00:00,6,30,4,24.1,22.85,0.017122356616716693,100.95,0.9,22.36,0.0,0,0,0.9
2002/06/30 @ 05:00:00,6,30,5,23.8,23.06,0.01757619348184971,100.94,0.94,22.78,0.0,0,0,0.6
2002/06/30 @ 06:00:00,6,30,6,22.9,22.42,0.01698484809283016,100.95,0.96,22.24,0.0,0,0,1.0
2002/06/30 @ 07:00:00,6,30,7,23.0,22.64,0.01727385739986004,100.96,0.97,22.5,4.0,0,4,1.3
2002/06/30 @ 08:00:00,6,30,8,23.5,23.01,0.01763009006984677,100.96,0.96,22.83,23.47,1,23,1.5
2002/06/30 @ 09:00:00,6,30,9,24.4,23.27,0.017641252704491524,100.91,0.91,22.84,72.3,2,71,1.7
2002/06/30 @ 10:00:00,6,30,10,25.5,24.07,0.01844702141941154,100.87,0.89,23.56,133.17,4,130,1.9
2002/06/30 @ 11:00:00,6,30,11,26.6,24.73,0.019041568544856613,100.82,0.86,24.07,199.14,7,193,2.0
2002/06/30 @ 12:00:00,6,30,12,28.2,24.79,0.018463865473778606,100.79,0.76,23.57,238.01,10,229,2.1
2002/06/30 @ 13:00:00,6,30,13,28.2,24.48,0.017963940045253916,100.75,0.74,23.13,252.36,12,242,2.4
2002/06/30 @ 14:00:00,6,30,14,28.8,24.72,0.018102209645482297,100.72,0.72,23.25,249.72,14,239,2.9
2002/06/30 @ 15:00:00,6,30,15,29.0,24.1,0.017012328431215477,100.7,0.67,22.26,237.29,20,225,1.7
2002/06/30 @ 16:00:00,6,30,16,28.3,23.79,0.016817741206965192,100.68,0.69,22.08,217.25,41,200,1.0
2002/06/30 @ 17:00:00,6,30,17,28.4,24.2,0.01742261684061861,100.66,0.71,22.64,164.63,130,139,0.2
2002/06/30 @ 18:00:00,6,30,18,27.4,23.75,0.0171215304922588,100.76,0.74,22.36,58.0,212,58,0.7
2002/06/30 @ 19:00:00,6,30,19,26.9,23.43,0.016843871338804536,100.86,0.75,22.1,0.0,0,0,1.0
2002/06/30 @ 20:00:00,6,30,20,26.1,23.55,0.017367403302318382,100.96,0.81,22.59,2.0,0,2,1.7
2002/06/30 @ 21:00:00,6,30,21,25.3,23.61,0.0178013522029885,101.01,0.87,22.98,0.0,0,0,1.9
2002/06/30 @ 22:00:00,6,30,22,25.0,23.85,0.018304386550166606,101.07,0.91,23.43,21.0,0,21,2.0
2002/06/30 @ 23:00:00,6,30,23,24.0,23.63,0.018379663522049547,101.13,0.97,23.5,1.0,0,1,2.4
2002/07/01 @ 00:00:00,7,1,0,25.8,23.27,0.017053243125855266,100.99,0.81,22.3,0.0,0,0,1.8
2002/07/01 @ 01:00:00,7,1,1,25.4,22.89,0.016642341510428843,100.97,0.81,21.91,5.0,0,5,1.9
2002/07/01 @ 02:00:00,7,1,2,25.1,23.15,0.01716924111210033,100.95,0.85,22.41,0.0,0,0,1.8
2002/07/01 @ 03:00:00,7,1,3,24.6,22.81,0.016851942795947965,100.92,0.86,22.11,0.0,0,0,1.9
2002/07/01 @ 04:00:00,7,1,4,24.2,22.68,0.01683508258251648,100.9,0.88,22.09,0.0,0,0,1.9
2002/07/01 @ 05:00:00,7,1,5,24.1,22.72,0.016926930386200016,100.87,0.89,22.18,0.0,0,0,1.8
2002/07/01 @ 06:00:00,7,1,6,24.9,23.62,0.017986624558181726,100.88,0.9,23.15,0.0,0,0,1.4
2002/07/01 @ 07:00:00,7,1,7,26.2,24.48,0.01880673379942928,100.88,0.87,23.87,73.8,72,56,1.2
2002/07/01 @ 08:00:00,7,1,8,27.5,25.17,0.019385054191850045,100.88,0.83,24.35,311.5,364,142,1.0
2002/07/01 @ 09:00:00,7,1,9,28.8,25.04,0.018620103054558017,100.87,0.74,23.7,583.18,685,137,1.2
2002/07/01 @ 10:00:00,7,1,10,29.6,24.97,0.01817061119859255,100.85,0.69,23.31,975.86,812,333,1.4
2002/07/01 @ 11:00:00,7,1,11,30.8,25.55,0.018632267937540112,100.84,0.66,23.71,1261.04,854,512,1.8
2002/07/01 @ 12:00:00,7,1,12,31.2,25.38,0.01818280880059452,100.79,0.63,23.32,1406.32,872,620,1.6
2002/07/01 @ 13:00:00,7,1,13,31.7,25.47,0.01811087386522245,100.74,0.61,23.26,1383.63,870,632,1.5
2002/07/01 @ 14:00:00,7,1,14,32.2,25.53,0.018017324775901213,100.69,0.59,23.17,1215.04,847,566,1.4
2002/07/01 @ 15:00:00,7,1,15,32.0,24.61,0.016569364131658378,100.64,0.55,21.84,941.1,798,450,1.7
2002/07/01 @ 16:00:00,7,1,16,31.8,24.44,0.01637784876690861,100.6,0.55,21.65,550.92,709,252,1.9
2002/07/01 @ 17:00:00,7,1,17,31.4,24.65,0.01689725040216088,100.55,0.58,22.15,255.93,550,147,2.3
2002/07/01 @ 18:00:00,7,1,18,29.9,23.89,0.01629571991491735,100.66,0.61,21.57,123.0,213,123,2.6
2002/07/01 @ 19:00:00,7,1,19,28.2,23.38,0.016220330879323706,100.77,0.67,21.5,0.0,0,0,3.2
2002/07/01 @ 20:00:00,7,1,20,25.8,23.13,0.016837009783852074,100.87,0.8,22.09,0.0,0,0,4.2
2002/07/01 @ 21:00:00,7,1,21,25.3,21.81,0.01507689824018995,100.95,0.74,20.35,15.0,0,15,3.3
2002/07/01 @ 22:00:00,7,1,22,25.8,23.13,0.016837009783852074,101.02,0.8,22.09,0.0,0,0,3.0
2002/07/01 @ 23:00:00,7,1,23,25.2,22.84,0.01664865808197077,101.1,0.82,21.92,0.0,0,0,2.7
2002/07/02 @ 00:00:00,7,2,0,24.9,22.96,0.01696011841899087,101.08,0.85,22.21,0.0,0,0,2.0
2002/07/02 @ 01:00:00,7,2,1,24.5,23.11,0.017349245456697106,101.06,0.89,22.57,9.0,0,9,1.4
2002/07/02 @ 02:00:00,7,2,2,24.1,22.85,0.017122356616716693,101.04,0.9,22.36,0.0,0,0,0.9
2002/07/02 @ 03:00:00,7,2,3,23.9,23.03,0.017491836312696366,101.0,0.93,22.7,0.0,0,0,0.9
2002/07/02 @ 04:00:00,7,2,4,23.8,23.06,0.01757619348184971,100.96,0.94,22.78,8.0,0,8,0.7
2002/07/02 @ 05:00:00,7,2,5,23.7,22.96,0.017467726958767853,100.91,0.94,22.68,0.0,0,0,0.6
2002/07/02 @ 06:00:00,7,2,6,24.2,23.45,0.018016179343907174,100.95,0.94,23.18,0.0,0,0,1.3
2002/07/02 @ 07:00:00,7,2,7,25.1,24.21,0.018834104186620466,100.98,0.93,23.89,23.99,4,23,1.9
2002/07/02 @ 08:00:00,7,2,8,26.8,25.47,0.020199687531320117,101.01,0.9,25.02,115.45,16,108,2.6
2002/07/02 @ 09:00:00,7,2,9,28.4,26.02,0.0204641743806708,101.01,0.83,25.23,298.05,83,244,2.5
2002/07/02 @ 10:00:00,7,2,10,30.1,26.24,0.020116687857553092,101.01,0.74,24.95,656.38,541,228,2.5
2002/07/02 @ 11:00:00,7,2,11,31.4,26.94,0.020811294880762637,101.0,0.71,25.5,1095.35,854,346,2.5
2002/07/02 @ 12:00:00,7,2,12,31.5,26.35,0.019717107335594317,100.95,0.67,24.63,1280.82,872,494,2.1
2002/07/02 @ 13:00:00,7,2,13,31.7,25.83,0.018722548275648104,100.89,0.63,23.79,1217.28,870,465,1.5
