Time,MM,DD,hh,T_dry,T_wb,w,P,RH,T_dp,ghi,dni,dhi,v_wind
2002/02/12 @ 19:00:00,2,12,19,2.0,-0.01,0.0029729142088975443,100.87,0.68,-2.9,0.0,0,0,4.7
2002/02/12 @ 20:00:00,2,12,20,1.4,-0.59,0.0028051772470678448,100.82,0.67,-3.58,0.0,0,0,5.2
2002/02/12 @ 21:00:00,2,12,21,1.0,-1.0,0.0026843972220987685,100.75,0.66,-4.1,0.0,0,0,5.1
2002/02/12 @ 22:00:00,2,12,22,1.0,-1.05,0.002643551659338809,100.68,0.65,-4.28,0.0,0,0,4.8
2002/02/12 @ 23:00:00,2,12,23,0.4,-1.57,0.0025309544070947886,100.64,0.65,-4.79,0.0,0,0,4.7
2002/02/13 @ 00:00:00,2,13,0,-0.5,-2.57,0.0023221354679149792,100.63,0.64,-5.79,0.0,0,0,4.4
2002/02/13 @ 01:00:00,2,13,1,-0.5,-2.63,0.002285718755721158,100.61,0.63,-5.97,0.0,0,0,4.4
2002/02/13 @ 02:00:00,2,13,2,-0.5,-2.57,0.0023221354679149792,100.57,0.64,-5.79,0.0,0,0,4.4
2002/02/13 @ 03:00:00,2,13,3,-0.5,-2.57,0.0023221354679149792,100.6,0.64,-5.79,0.0,0,0,4.2
2002/02/13 @ 04:00:00,2,13,4,-0.5,-2.57,0.0023221354679149792,100.54,0.64,-5.79,0.0,0,0,3.8
2002/02/13 @ 05:00:00,2,13,5,-0.6,-2.66,0.0023029427361600263,100.6,0.64,-5.89,0.0,0,0,3.6
2002/02/13 @ 06:00:00,2,13,6,-0.5,-2.45,0.002394981640778207,100.68,0.66,-5.43,0.0,0,0,3.1
2002/02/13 @ 07:00:00,2,13,7,-0.5,-2.33,0.002467844816568221,100.73,0.68,-5.08,0.0,0,0,3.1
2002/02/13 @ 08:00:00,2,13,8,-0.6,-2.36,0.0024835785916363868,100.68,0.69,-5.01,22.38,22,21,3.0
2002/02/13 @ 09:00:00,2,13,9,-0.5,-2.21,0.002540725001238662,100.72,0.7,-4.74,98.23,61,86,3.1
2002/02/13 @ 10:00:00,2,13,10,-0.5,-2.27,0.0025042827824211774,100.8,0.69,-4.91,138.12,42,125,3.1
2002/02/13 @ 11:00:00,2,13,11,0.4,-1.34,0.0026873784362803914,100.84,0.69,-4.08,202.92,74,174,3.2
2002/02/13 @ 12:00:00,2,13,12,1.0,-1.11,0.0026027114381491157,100.78,0.64,-4.46,186.78,39,170,3.2
2002/02/13 @ 13:00:00,2,13,13,1.8,-0.43,0.002757337924496919,100.78,0.64,-3.78,247.98,112,200,3.5
2002/02/13 @ 14:00:00,2,13,14,2.2,-0.15,0.002793138686771183,100.78,0.63,-3.63,271.19,242,178,3.5
2002/02/13 @ 15:00:00,2,13,15,2.6,0.26,0.0029200929215399468,100.71,0.64,-3.11,261.68,500,110,3.5
2002/02/13 @ 16:00:00,2,13,16,3.2,1.08,0.003239190453582474,100.83,0.68,-1.88,172.44,426,92,3.2
2002/02/13 @ 17:00:00,2,13,17,2.8,0.92,0.0032877866918040437,100.99,0.71,-1.7,32.49,152,25,2.5
2002/02/13 @ 18:00:00,2,13,18,0.7,-0.85,0.0029065590866396425,101.04,0.73,-3.16,0.0,0,0,2.6
2002/02/13 @ 19:00:00,2,13,19,-0.5,-1.8,0.002795939678539484,101.27,0.77,-3.62,0.0,0,0,2.6
2002/02/13 @ 20:00:00,2,13,20,-0.6,-1.78,0.0028451641029679188,101.25,0.79,-3.41,0.0,0,0,2.7
2002/02/13 @ 21:00:00,2,13,21,-0.6,-1.72,0.002881345687450867,101.2,0.8,-3.27,0.0,0,0,2.5
2002/02/13 @ 22:00:00,2,13,22,-0.6,-1.55,0.0029899155885656312,101.31,0.83,-2.83,0.0,0,0,2.5
2002/02/13 @ 23:00:00,2,13,23,-0.6,-1.55,0.0029899155885656312,101.31,0.83,-2.83,0.0,0,0,2.4
2002/02/14 @ 00:00:00,2,14,0,-0.6,-1.49,0.003026113940586922,101.37,0.84,-2.69,0.0,0,0,2.2
2002/02/14 @ 01:00:00,2,14,1,-0.6,-1.44,0.0030623164863140184,101.39,0.85,-2.55,0.0,0,0,1.7
2002/02/14 @ 02:00:00,2,14,2,-0.6,-1.44,0.0030623164863140184,101.42,0.85,-2.55,0.0,0,0,1.4
2002/02/14 @ 03:00:00,2,14,3,-0.6,-1.38,0.003098523226475745,101.4,0.86,-2.41,0.0,0,0,1.3
2002/02/14 @ 04:00:00,2,14,4,-0.7,-1.31,0.0031806041820705124,101.37,0.89,-2.1,0.0,0,0,1.3
2002/02/14 @ 05:00:00,2,14,5,-0.6,-1.15,0.0032433921460513796,101.41,0.9,-1.86,0.0,0,0,1.4
2002/02/14 @ 06:00:00,2,14,6,-0.6,-1.1,0.003279619869324555,101.4,0.91,-1.73,0.0,0,0,1.4
2002/02/14 @ 07:00:00,2,14,7,-0.6,-1.04,0.0033158517914088615,101.41,0.92,-1.6,0.0,0,0,1.7
2002/02/14 @ 08:00:00,2,14,8,-0.6,-1.04,0.0033158517914088615,101.43,0.92,-1.6,57.33,197,44,1.7
2002/02/14 @ 09:00:00,2,14,9,-0.6,-1.1,0.003279619869324555,101.6,0.91,-1.73,183.93,452,91,1.5
2002/02/14 @ 10:00:00,2,14,10,-0.6,-1.21,0.0032071686208594978,101.61,0.89,-2.0,277.46,521,112,1.4
2002/02/14 @ 11:00:00,2,14,11,-0.6,-1.27,0.0031709492930192366,101.75,0.88,-2.13,362.23,599,125,1.3
2002/02/14 @ 12:00:00,2,14,12,-0.6,-1.38,0.003098523226475745,101.76,0.86,-2.41,413.4,662,125,1.2
2002/02/14 @ 13:00:00,2,14,13,2.6,1.2,0.0035625221463169657,101.63,0.78,-0.74,411.52,663,124,1.7
2002/02/14 @ 14:00:00,2,14,14,3.6,1.65,0.0034804020836650676,101.52,0.71,-1.02,355.1,587,126,2.3
2002/02/14 @ 15:00:00,2,14,15,3.7,1.95,0.0036541483647889654,101.59,0.74,-0.44,270.47,530,107,2.2
2002/02/14 @ 16:00:00,2,14,16,3.6,1.86,0.003628319244750801,101.62,0.74,-0.52,176.88,433,93,2.1
2002/02/14 @ 17:00:00,2,14,17,3.2,1.56,0.0035745529703071458,101.65,0.75,-0.7,44.74,162,36,1.8
