Time,MM,DD,hh,T_dry,T_wb,w,P,RH,T_dp,ghi,dni,dhi,v_wind
2002/01/06 @ 03:00:00,1,6,3,-13.2,-14.22,0.000733895377137484,100.33,0.61,-18.51,0.0,0,0,6.7
2002/01/06 @ 04:00:00,1,6,4,-12.9,-14.05,0.0007046897894277809,100.49,0.57,-18.93,0.0,0,0,5.7
2002/01/06 @ 05:00:00,1,6,5,-12.9,-14.16,0.000655185779433711,100.6,0.53,-19.69,0.0,0,0,5.1
2002/01/06 @ 06:00:00,1,6,6,-13.9,-15.12,0.0005754827596121706,100.73,0.51,-21.03,67.0,0,67,4.4
2002/01/06 @ 07:00:00,1,6,7,-14.2,-15.42,0.0005488864811663524,100.82,0.5,-21.51,108.0,0,108,3.6
2002/01/06 @ 08:00:00,1,6,8,-15.1,-16.28,0.0004850081573842671,100.94,0.48,-22.77,134.0,0,134,3.6
2002/01/06 @ 09:00:00,1,6,9,-14.2,-15.37,0.0005708620925798525,100.91,0.52,-21.11,211.55,137,190,3.6
2002/01/06 @ 10:00:00,1,6,10,-13.9,-15.02,0.0006206637052432152,100.99,0.55,-20.25,266.52,383,172,4.7
2002/01/06 @ 11:00:00,1,6,11,-14.1,-15.08,0.0006648516909558502,100.95,0.6,-19.54,294.5,512,141,5.6
2002/01/06 @ 12:00:00,1,6,12,-13.8,-14.78,0.0006947779996225908,100.97,0.61,-19.08,267.66,501,111,5.6
2002/01/06 @ 13:00:00,1,6,13,-13.4,-14.35,0.0007442932620713665,100.99,0.63,-18.36,242.0,397,129,5.6
2002/01/06 @ 14:00:00,1,6,14,-13.4,-14.35,0.0007442932620713665,100.98,0.63,-18.36,213.71,509,103,5.6
2002/01/06 @ 15:00:00,1,6,15,-13.6,-14.51,0.0007424410208625533,101.0,0.64,-18.39,157.35,469,103,5.4
2002/01/06 @ 16:00:00,1,6,16,-13.9,-14.82,0.0007110452740669745,101.01,0.63,-18.84,107.0,297,107,4.7
2002/01/06 @ 17:00:00,1,6,17,-13.8,-14.73,0.0007175838886823615,100.99,0.63,-18.74,0.0,0,0,4.2
2002/01/06 @ 18:00:00,1,6,18,-14.2,-15.12,0.0006807634275990904,101.01,0.62,-19.29,0.0,0,0,3.6
2002/01/06 @ 19:00:00,1,6,19,-14.3,-15.24,0.0006636502159492153,101.01,0.61,-19.56,0.0,0,0,2.8
2002/01/06 @ 20:00:00,1,6,20,-15.5,-16.4,0.0005745914193975871,100.97,0.59,-21.05,0.0,0,0,1.9
2002/01/06 @ 21:00:00,1,6,21,-15.2,-16.1,0.0006007983467977003,100.98,0.6,-20.59,0.0,0,0,1.9
2002/01/06 @ 22:00:00,1,6,22,-15.3,-16.17,0.0006051961405488957,100.98,0.61,-20.51,0.0,0,0,2.2
2002/01/06 @ 23:00:00,1,6,23,-15.3,-16.15,0.0006151272012454972,100.99,0.62,-20.34,0.0,0,0,2.5
2002/01/07 @ 00:00:00,1,7,0,-15.4,-16.24,0.0006094577742120743,101.01,0.62,-20.44,0.0,0,0,2.5
2002/01/07 @ 01:00:00,1,7,1,-15.1,-15.96,0.0006266113920330321,100.98,0.62,-20.15,0.0,0,0,2.5
2002/01/07 @ 02:00:00,1,7,2,-15.2,-16.03,0.0006308687350709538,100.98,0.63,-20.08,0.0,0,0,2.5
2002/01/07 @ 03:00:00,1,7,3,-14.7,-15.38,0.0007446644106748162,100.78,0.71,-18.36,0.0,0,0,3.9
2002/01/07 @ 04:00:00,1,7,4,-14.1,-14.61,0.0008756844902030035,100.6,0.79,-16.64,0.0,0,0,5.7
2002/01/07 @ 05:00:00,1,7,5,-14.5,-14.86,0.0009082874260117667,100.55,0.85,-16.25,0.0,0,0,6.7
2002/01/07 @ 06:00:00,1,7,6,-13.3,-13.69,0.001013831907341143,100.39,0.85,-15.07,0.0,0,0,7.2
2002/01/07 @ 07:00:00,1,7,7,-11.8,-12.29,0.0011341685310846587,100.49,0.83,-13.85,0.0,0,0,7.2
2002/01/07 @ 08:00:00,1,7,8,-9.6,-10.24,0.0013474152212147772,100.29,0.81,-11.96,0.0,0,0,7.8
2002/01/07 @ 09:00:00,1,7,9,-8.1,-8.91,0.0014809023882225458,100.3,0.78,-10.91,146.03,139,124,7.2
2002/01/07 @ 10:00:00,1,7,10,-6.7,-7.67,0.001630291743866423,100.31,0.76,-9.83,220.6,385,125,7.2
2002/01/07 @ 11:00:00,1,7,11,-6.0,-7.14,0.0016635914766728087,100.33,0.73,-9.6,249.04,514,94,6.9
2002/01/07 @ 12:00:00,1,7,12,-5.5,-6.94,0.0015937297645672599,100.27,0.67,-10.09,235.38,322,134,8.1
2002/01/07 @ 13:00:00,1,7,13,-5.6,-7.16,0.0015091541861912679,100.24,0.64,-10.7,229.42,308,141,8.3
2002/01/07 @ 14:00:00,1,7,14,-5.3,-7.07,0.0014515713064677806,100.23,0.6,-11.13,214.65,489,107,9.1
2002/01/07 @ 15:00:00,1,7,15,-6.6,-8.15,0.001340911654602464,100.22,0.62,-12.01,157.13,473,101,8.9
2002/01/07 @ 16:00:00,1,7,16,-8.2,-9.57,0.001185127512230268,100.38,0.63,-13.37,106.0,303,106,9.2
2002/01/07 @ 17:00:00,1,7,17,-10.3,-11.46,0.0009999513637361085,100.49,0.64,-15.22,0.0,0,0,9.6
2002/01/07 @ 18:00:00,1,7,18,-10.6,-11.8,0.0009430741692054431,100.44,0.62,-15.85,0.0,0,0,9.6
2002/01/07 @ 19:00:00,1,7,19,-10.7,-12.02,0.0008742988675247117,100.45,0.58,-16.66,0.0,0,0,9.6
2002/01/07 @ 20:00:00,1,7,20,-11.8,-13.2,0.0007100797835803154,100.53,0.52,-18.85,0.0,0,0,8.6
2002/01/07 @ 21:00:00,1,7,21,-13.4,-14.67,0.0006023858052184698,100.58,0.51,-20.56,0.0,0,0,8.9
2002/01/07 @ 22:00:00,1,7,22,-13.9,-15.17,0.0005528947458671107,100.61,0.49,-21.44,0.0,0,0,8.9
2002/01/07 @ 23:00:00,1,7,23,-14.9,-16.11,0.0004940469520082362,100.57,0.48,-22.58,0.0,0,0,9.3
2002/01/08 @ 00:00:00,1,8,0,-16.2,-17.31,0.0004288170140015807,100.73,0.47,-24.0,0.0,0,0,8.3
2002/01/08 @ 01:00:00,1,8,1,-17.9,-18.89,0.0003578280638000397,100.87,0.46,-25.79,0.0,0,0,7.8
2002/01/08 @ 02:00:00,1,8,2,-19.5,-20.38,0.00030067876819239145,101.03,0.45,-27.47,0.0,0,0,6.9
2002/01/08 @ 03:00:00,1,8,3,-19.3,-20.13,0.0003337361796105924,101.22,0.49,-26.47,0.0,0,0,6.1
2002/01/08 @ 04:00:00,1,8,4,-18.8,-19.56,0.00039290606943851526,101.25,0.55,-24.87,0.0,0,0,5.4
2002/01/08 @ 05:00:00,1,8,5,-19.6,-20.25,0.0003905288343443536,101.22,0.59,-24.93,0.0,0,0,4.7
2002/01/08 @ 06:00:00,1,8,6,-20.3,-20.9,0.0003713503229406545,101.35,0.6,-25.42,73.0,0,73,4.7
2002/01/08 @ 07:00:00,1,8,7,-20.2,-20.8,0.00037493952955387506,101.51,0.6,-25.33,112.0,0,112,4.2
2002/01/08 @ 08:00:00,1,8,8,-20.5,-21.07,0.00037034110280209935,101.63,0.61,-25.45,139.0,0,139,4.2
2002/01/08 @ 09:00:00,1,8,9,-21.3,-21.86,0.0003315316015643502,101.73,0.59,-26.53,245.53,141,223,4.2
2002/01/08 @ 10:00:00,1,8,10,-21.2,-21.79,0.0003234076531309724,101.79,0.57,-26.77,340.73,387,244,3.6
2002/01/08 @ 11:00:00,1,8,11,-21.7,-22.27,0.0003080811596673721,101.87,0.57,-27.24,425.66,516,269,3.6
2002/01/08 @ 12:00:00,1,8,12,-21.8,-22.39,0.0002943868790806634,101.91,0.55,-27.68,373.67,576,191,3.1
2002/01/08 @ 13:00:00,1,8,13,-22.0,-22.58,0.00028870509141604725,101.92,0.55,-27.86,312.86,590,142,3.1
