Time;MM;DD;hh;T_dry;T_wb;P;RH;T_dp;ghi;dni;dhi;v_wind
2002/01/08 @ 02:00:00;1;8;2;29.4;22.6;92.5;57;20.01;501.32;179;378;7.3
2002/01/08 @ 03:00:00;1;8;3;31.2;22.78;92.4;50;19.56;556.85;218;432;8.8
2002/01/08 @ 04:00:00;1;8;4;32;23.45;92.4;50;20.29;570.74;373;418;10
2002/01/08 @ 05:00:00;1;8;5;31.4;23.74;92.3;54;20.99;464.39;539;351;11.3
2002/01/08 @ 06:00:00;1;8;6;30.1;23.2;92.3;57;20.66;424;309;424;11.6
2002/01/08 @ 07:00:00;1;8;7;28.2;22.6;92.3;63;20.5;403;198;403;11.2
2002/01/08 @ 08:00:00;1;8;8;26.7;22.86;92.2;73;21.47;338;130;338;11.2
2002/01/08 @ 09:00:00;1;8;9;24.4;21.6;92.3;79;20.53;250;87;250;8.6
2002/01/08 @ 10:00:00;1;8;10;22.8;20.77;92.4;84;19.97;136;20;136;6.7
2002/01/08 @ 11:00:00;1;8;11;22.7;21.2;92.4;88;20.62;0;0;0;4.7
2002/01/08 @ 12:00:00;1;8;12;21.8;20.58;92.3;90;20.1;0;0;0;4.9
2002/01/08 @ 13:00:00;1;8;13;21.5;20.41;92.3;91;19.98;0;0;0;4.9
2002/01/08 @ 14:00:00;1;8;14;21.4;20.19;92.2;90;19.71;0;0;0;4.7
2002/01/08 @ 15:00:00;1;8;15;20.9;19.83;92.2;91;19.39;0;0;0;6.9
2002/01/08 @ 16:00:00;1;8;16;20.6;19.65;92.2;92;19.27;0;0;0;9
2002/01/08 @ 17:00:00;1;8;17;21;20.05;92.2;92;19.67;0;0;0;11.1
2002/01/08 @ 18:00:00;1;8;18;21.9;19.78;92.2;83;18.9;0;0;0;12.1
2002/01/08 @ 19:00:00;1;8;19;23.2;20.2;92.3;77;18.96;0;0;0;12.4
2002/01/08 @ 20:00:00;1;8;20;23.9;20;92.3;71;18.34;0;0;0;13.3
2002/01/08 @ 21:00:00;1;8;21;23.9;20.29;92.3;73;18.79;0;0;0;12.4
2002/01/08 @ 22:00:00;1;8;22;24.5;20.55;92.4;71;18.92;69;0;69;11.9
2002/01/08 @ 23:00:00;1;8;23;26;20.82;92.3;64;18.68;172.47;107;98;11.7
2002/01/09 @ 00:00:00;1;9;0;27.5;19.91;92.3;51;16.49;278.09;97;205;10.6
2002/01/09 @ 01:00:00;1;9;1;29.6;21.07;92.3;48;17.45;407.75;146;298;9.4
2002/01/09 @ 02:00:00;1;9;2;30.6;21.28;92.3;45;17.34;509.78;198;373;8
2002/01/09 @ 03:00:00;1;9;3;32;22.19;92.3;44;18.24;566.57;248;424;8.9
2002/01/09 @ 04:00:00;1;9;4;32.7;22.97;92.3;45;19.23;571.15;452;385;10
2002/01/09 @ 05:00:00;1;9;5;31.7;22.58;92.1;47;19.02;431.71;666;290;11.4
2002/01/09 @ 06:00:00;1;9;6;31.5;23.42;92.1;52;20.47;339;507;339;11.8
2002/01/09 @ 07:00:00;1;9;7;30.4;23.82;92.1;59;21.5;368;308;368;12.1
2002/01/09 @ 08:00:00;1;9;8;27;22.98;92.1;72;21.53;318;219;318;12.4
2002/01/09 @ 09:00:00;1;9;9;23.9;21.68;92.2;83;20.85;246;121;246;10.5
2002/01/09 @ 10:00:00;1;9;10;21.9;21.17;92.2;94;20.9;148;41;148;8.8
2002/01/09 @ 11:00:00;1;9;11;21.5;20.9;92.2;95;20.68;0;0;0;7
2002/01/09 @ 12:00:00;1;9;12;21.1;20.75;92.3;97;20.62;0;0;0;5.9
2002/01/09 @ 13:00:00;1;9;13;21.3;20.94;92.3;97;20.82;0;0;0;4.9
2002/01/09 @ 14:00:00;1;9;14;21.2;20.96;92.3;98;20.88;0;0;0;3.7
2002/01/09 @ 15:00:00;1;9;15;20.9;20.67;92.3;98;20.58;0;0;0;2.7
2002/01/09 @ 16:00:00;1;9;16;20.4;20.17;92.4;98;20.09;0;0;0;1.7
2002/01/09 @ 17:00:00;1;9;17;20.3;19.95;92.4;97;19.82;0;0;0;0.8
2002/01/09 @ 18:00:00;1;9;18;19.9;19.67;92.4;98;19.59;0;0;0;1.5
2002/01/09 @ 19:00:00;1;9;19;19.8;19.57;92.4;98;19.49;0;0;0;2.4
2002/01/09 @ 20:00:00;1;9;20;19.7;19.47;92.5;98;19.39;0;0;0;3.3
2002/01/09 @ 21:00:00;1;9;21;19.5;19.39;92.5;99;19.35;0;0;0;4
2002/01/09 @ 22:00:00;1;9;22;19.9;19.67;92.5;98;19.59;63;0;63;4.6
2002/01/09 @ 23:00:00;1;9;23;21;20.65;92.5;97;20.52;137.7;57;98;5.4
2002/01/10 @ 00:00:00;1;10;0;22.3;21.44;92.5;93;21.12;236.71;46;202;6.6
2002/01/10 @ 01:00:00;1;10;1;23;21.62;92.5;89;21.1;332.18;56;290;7.5
2002/01/10 @ 02:00:00;1;10;2;23.9;21.96;92.5;85;21.23;422.65;76;370;8.5
2002/01/10 @ 03:00:00;1;10;3;25.2;22.5;92.4;80;21.51;461.28;75;418;10
2002/01/10 @ 04:00:00;1;10;4;24.6;22.21;92.4;82;21.33;509.73;108;465;11.9
2002/01/10 @ 05:00:00;1;10;5;23;21.49;92.4;88;20.92;491.17;103;469;13.2
2002/01/10 @ 06:00:00;1;10;6;21.3;20.58;92.4;94;20.31;406;50;406;13
2002/01/10 @ 07:00:00;1;10;7;20;19.77;92.4;98;19.69;282;16;282;13.4
2002/01/10 @ 08:00:00;1;10;8;19.1;18.88;92.5;98;18.79;156;4;156;13.3
2002/01/10 @ 09:00:00;1;10;9;18.3;18.08;92.5;98;18;64;1;64;12.2
2002/01/10 @ 10:00:00;1;10;10;18;17.78;92.5;98;17.7;29;0;29;11.1
2002/01/10 @ 11:00:00;1;10;11;18.4;18.18;92.6;98;18.1;0;0;0;9.8
2002/01/10 @ 12:00:00;1;10;12;18.2;17.87;92.5;97;17.74;0;0;0;8.7
2002/01/10 @ 13:00:00;1;10;13;17.9;17.68;92.6;98;17.6;0;0;0;7.6
2002/01/10 @ 14:00:00;1;10;14;17.8;17.58;92.6;98;17.5;0;0;0;6.1
2002/01/10 @ 15:00:00;1;10;15;17.8;17.58;92.6;98;17.5;0;0;0;5.6
2002/01/10 @ 16:00:00;1;10;16;17.7;17.48;92.6;98;17.4;0;0;0;5.3
2002/01/10 @ 17:00:00;1;10;17;17.5;17.28;92.6;98;17.2;0;0;0;4.9
2002/01/10 @ 18:00:00;1;10;18;17.6;17.38;92.6;98;17.3;0;0;0;4.4
2002/01/10 @ 19:00:00;1;10;19;16.9;16.47;92.6;96;16.28;0;0;0;4
