Time;MM;DD;hh;T_dry;T_wb;P;RH;T_dp;ghi;dni;dhi;v_wind
2002/04/09 @ 06:00:00;4;9;6;18.3;17.33;101.93;91;16.83;0;0;0;3.9
2002/04/09 @ 07:00:00;4;9;7;18.9;17.57;101.93;88;16.89;0;0;0;4.4
2002/04/09 @ 08:00:00;4;9;8;20.6;19.33;101.59;89;18.74;216.32;157;177;3.9
2002/04/09 @ 09:00:00;4;9;9;21.7;20.03;101.59;86;19.27;355.89;502;139;3.9
2002/04/09 @ 10:00:00;4;9;10;22.8;21.08;101.59;86;20.35;539.9;670;152;3.9
2002/04/09 @ 11:00:00;4;9;11;24.4;21.82;101.59;80;20.74;658.71;763;139;3.9
2002/04/09 @ 12:00:00;4;9;12;25.6;22.38;101.59;76;21.07;716.13;797;133;4.4
2002/04/09 @ 13:00:00;4;9;13;25.6;21.95;101.59;73;20.41;730.72;763;176;4.9
2002/04/09 @ 14:00:00;4;9;14;26.1;21.67;101.59;68;19.75;644.88;596;247;4.4
2002/04/09 @ 15:00:00;4;9;15;25.6;21.06;101.25;67;19.04;504.22;370;298;3.9
2002/04/09 @ 16:00:00;4;9;16;25.6;21.06;101.25;67;19.04;357.77;200;277;3.4
2002/04/09 @ 17:00:00;4;9;17;25.6;20.91;101.25;66;18.8;160.53;30;154;3.9
2002/04/09 @ 18:00:00;4;9;18;25.6;21.06;101.25;67;19.04;0.01;1;0;4.4
2002/04/09 @ 19:00:00;4;9;19;25;20.82;101.25;69;18.94;0;0;0;4.4
2002/04/09 @ 20:00:00;4;9;20;24.4;20.85;101.25;73;19.26;0;0;0;5.5
2002/04/09 @ 21:00:00;4;9;21;24.4;21.4;101.25;77;20.12;0;0;0;6
2002/04/09 @ 22:00:00;4;9;22;25;22.1;101.25;78;20.91;0;0;0;7
2002/04/09 @ 23:00:00;4;9;23;24.4;21.54;101.25;78;20.33;0;0;0;7
2002/04/10 @ 00:00:00;4;10;0;23.9;21.07;101.25;78;19.85;0;0;0;7
2002/04/10 @ 01:00:00;4;10;1;23.9;21.21;101.25;79;20.05;0;0;0;7
2002/04/10 @ 02:00:00;4;10;2;23.9;21.34;101.25;80;20.25;0;0;0;7
2002/04/10 @ 03:00:00;4;10;3;22.8;20.57;101.25;82;19.58;0;0;0;7
2002/04/10 @ 04:00:00;4;10;4;22.8;20.31;101.25;80;19.19;0;0;0;7
2002/04/10 @ 05:00:00;4;10;5;22.2;20.13;101.25;83;19.19;0;0;0;6.5
2002/04/10 @ 06:00:00;4;10;6;21.7;19.9;101.25;85;19.09;0;0;0;6.5
2002/04/10 @ 07:00:00;4;10;7;22.2;19.87;101.25;81;18.8;0;0;0;6.5
2002/04/10 @ 08:00:00;4;10;8;22.8;20.7;101.25;83;19.78;171.36;151;134;6.5
2002/04/10 @ 09:00:00;4;10;9;23.3;20.65;101.25;79;19.47;316.5;498;103;6.5
2002/04/10 @ 10:00:00;4;10;10;24.4;21.54;101.25;78;20.33;502.72;667;119;6.5
2002/04/10 @ 11:00:00;4;10;11;25.6;22.38;101.25;76;21.07;641.66;760;127;6
2002/04/10 @ 12:00:00;4;10;12;25.6;22.09;101.25;74;20.63;699.46;765;143;5.4
2002/04/10 @ 13:00:00;4;10;13;25.6;22.09;101.25;74;20.63;711.56;726;187;5.4
2002/04/10 @ 14:00:00;4;10;14;25.6;21.36;101.25;69;19.51;637.79;588;248;4.4
2002/04/10 @ 15:00:00;4;10;15;26.1;21.51;101.25;67;19.51;488.11;335;303;3.9
2002/04/10 @ 16:00:00;4;10;16;26.7;21.26;101.25;62;18.84;327.67;142;271;3.4
2002/04/10 @ 17:00:00;4;10;17;25.6;20.45;101.25;63;18.06;150.32;25;145;3.4
2002/04/10 @ 18:00:00;4;10;18;25.6;20.76;101.25;65;18.55;0;0;0;3.6
2002/04/10 @ 19:00:00;4;10;19;26.7;21.74;101.25;65;19.59;0;0;0;3.9
2002/04/10 @ 20:00:00;4;10;20;25.6;21.36;101.25;69;19.51;0;0;0;4.4
2002/04/10 @ 21:00:00;4;10;21;25;21.11;101.25;71;19.39;0;0;0;5.5
2002/04/10 @ 22:00:00;4;10;22;24.4;21.4;101.25;77;20.12;0;0;0;6.5
2002/04/10 @ 23:00:00;4;10;23;24.4;21.4;101.25;77;20.12;0;0;0;6
2002/04/11 @ 00:00:00;4;11;0;24.4;21.54;101.25;78;20.33;0;0;0;6
2002/04/11 @ 01:00:00;4;11;1;23.9;20.94;101.25;77;19.64;0;0;0;5.5
2002/04/11 @ 02:00:00;4;11;2;23.9;20.94;101.25;77;19.64;0;0;0;5.5
2002/04/11 @ 03:00:00;4;11;3;23.9;20.8;101.25;76;19.43;0;0;0;5.5
2002/04/11 @ 04:00:00;4;11;4;22.8;20.05;101.25;78;18.78;0;0;0;5.3
2002/04/11 @ 05:00:00;4;11;5;22.8;20.31;101.25;80;19.19;0;0;0;5.1
2002/04/11 @ 06:00:00;4;11;6;21.7;19.53;101.25;82;18.51;0;0;0;4.9
2002/04/11 @ 07:00:00;4;11;7;22.8;20.05;101.25;78;18.78;0;0;0;5.4
2002/04/11 @ 08:00:00;4;11;8;23.9;20.94;101.25;77;19.64;59.43;145;24;4.9
2002/04/11 @ 09:00:00;4;11;9;23.9;21.34;101.25;80;20.25;245.84;451;54;3.9
2002/04/11 @ 10:00:00;4;11;10;23.3;21.04;101.25;82;20.07;490.57;664;111;3.4
2002/04/11 @ 11:00:00;4;11;11;23.9;21.21;101.25;79;20.05;475.86;386;216;3.4
2002/04/11 @ 12:00:00;4;11;12;23.9;20.94;101.25;77;19.64;282.31;35;257;3.4
