Time;MM;DD;hh;T_dry;T_wb;P;RH;T_dp;ghi;dni;dhi;v_wind
2002/01/06 @ 12:00:00;1;6;12;19;10.29;101.51;31;1.49;270.69;60;238;1.2
2002/01/06 @ 13:00:00;1;6;13;19.1;10.06;101.43;29;0.64;205.84;24;194;0.9
2002/01/06 @ 14:00:00;1;6;14;17.8;8.99;101.34;28;-0.82;175.26;21;167;0.6
2002/01/06 @ 15:00:00;1;6;15;17.5;9.05;101.28;30;-0.22;55.5;2;55;0.9
2002/01/06 @ 16:00:00;1;6;16;17.2;9.38;101.22;34;1.2;0;0;0;1.2
2002/01/06 @ 17:00:00;1;6;17;16.9;8.48;101.22;29;-1.09;0;0;0;1.4
2002/01/06 @ 18:00:00;1;6;18;16.5;8.59;101.21;32;-0.21;0;0;0;1.4
2002/01/06 @ 19:00:00;1;6;19;15.9;8.8;101.22;37;1.23;0;0;0;1.4
2002/01/06 @ 20:00:00;1;6;20;15.5;8.86;101.15;40;1.96;0;0;0;1.4
2002/01/06 @ 21:00:00;1;6;21;14.2;8.67;101.12;47;3.06;0;0;0;1.3
2002/01/06 @ 22:00:00;1;6;22;13.5;8.76;101.15;53;4.13;0;0;0;1.2
2002/01/06 @ 23:00:00;1;6;23;12.4;8.77;101.17;62;5.35;0;0;0;1.2
2002/01/07 @ 00:00:00;1;7;0;11.4;9.14;101.15;75;7.16;0;0;0;1.2
2002/01/07 @ 01:00:00;1;7;1;11.2;9.6;101.14;82;8.27;0;0;0;1.2
2002/01/07 @ 02:00:00;1;7;2;10.5;9.47;101.08;88;8.63;0;0;0;1.2
2002/01/07 @ 03:00:00;1;7;3;10.5;9.47;101.08;88;8.63;0;0;0;1.2
2002/01/07 @ 04:00:00;1;7;4;10.5;9.29;101.13;86;8.29;0;0;0;1.2
2002/01/07 @ 05:00:00;1;7;5;10.9;9.5;101.15;84;8.33;0;0;0;1.2
2002/01/07 @ 06:00:00;1;7;6;10.6;9.65;101.11;89;8.89;0;0;0;1.3
2002/01/07 @ 07:00:00;1;7;7;11.2;10.14;101.08;88;9.32;0;0;0;1.4
2002/01/07 @ 08:00:00;1;7;8;12.5;11.11;101.15;85;10.08;0;0;0;1.4
2002/01/07 @ 09:00:00;1;7;9;15.2;12.32;101.1;72;10.22;267.04;408;106;1.9
2002/01/07 @ 10:00:00;1;7;10;16.7;12.4;101.13;61;9.18;265.71;151;191;2.2
2002/01/07 @ 11:00:00;1;7;11;18.3;12.77;101.11;53;8.6;250.35;61;217;2.5
2002/01/07 @ 12:00:00;1;7;12;19.2;12.71;101.06;47;7.65;219.86;29;204;2.6
2002/01/07 @ 13:00:00;1;7;13;19;12.41;101.1;46;7.16;219.86;30;205;2.8
2002/01/07 @ 14:00:00;1;7;14;17.7;12.27;101.08;53;8.04;237.36;59;214;2.8
2002/01/07 @ 15:00:00;1;7;15;16.3;12.52;101.08;65;9.75;215.05;114;186;2.7
2002/01/07 @ 16:00:00;1;7;16;15.1;12.87;101.01;78;11.33;137.51;372;107;2.6
2002/01/07 @ 17:00:00;1;7;17;14.1;12.94;101;88;12.18;53;227;53;2.7
2002/01/07 @ 18:00:00;1;7;18;13;12.16;100.9;91;11.6;0;0;0;1.7
2002/01/07 @ 19:00:00;1;7;19;12.6;11.77;100.83;91;11.2;0;0;0;1.4
2002/01/07 @ 20:00:00;1;7;20;12.2;11.47;100.76;92;10.97;0;0;0;1.2
2002/01/07 @ 21:00:00;1;7;21;12.2;11.29;100.75;90;10.64;0;0;0;1.2
2002/01/07 @ 22:00:00;1;7;22;12.1;11.29;100.79;91;10.71;0;0;0;1.2
2002/01/07 @ 23:00:00;1;7;23;11.9;10.91;100.8;89;10.18;0;0;0;1.2
2002/01/08 @ 00:00:00;1;8;0;11.8;10.81;100.83;89;10.08;0;0;0;1.2
2002/01/08 @ 01:00:00;1;8;1;11.7;10.81;100.83;90;10.15;0;0;0;1.2
2002/01/08 @ 02:00:00;1;8;2;11.2;10.59;100.89;93;10.14;0;0;0;1.3
2002/01/08 @ 03:00:00;1;8;3;11;10.57;100.83;95;10.26;0;0;0;1.2
2002/01/08 @ 04:00:00;1;8;4;10.7;10.27;100.86;95;9.96;0;0;0;1.2
2002/01/08 @ 05:00:00;1;8;5;10.6;10.09;100.85;94;9.71;0;0;0;1.2
2002/01/08 @ 06:00:00;1;8;6;10.6;10;100.94;93;9.55;0;0;0;1.2
2002/01/08 @ 07:00:00;1;8;7;11.5;10.43;101;88;9.61;0;0;0;1.2
2002/01/08 @ 08:00:00;1;8;8;13.1;11;101.08;78;9.39;269.93;240;209;1.2
2002/01/08 @ 09:00:00;1;8;9;16.8;11.15;101.08;50;6.35;441.5;527;233;1.6
2002/01/08 @ 10:00:00;1;8;10;18.9;11.5;101.08;40;5.04;565.9;669;234;1.9
2002/01/08 @ 11:00:00;1;8;11;20.5;12.13;101.1;36;4.95;592.49;743;185;1.9
2002/01/08 @ 12:00:00;1;8;12;21;12.35;101.13;35;4.99;587.07;776;161;2.1
2002/01/08 @ 13:00:00;1;8;13;20.5;11.83;101.18;34;4.13;528.39;776;142;2.3
2002/01/08 @ 14:00:00;1;8;14;19.9;11.83;101.22;37;4.81;438.71;742;143;2.5
2002/01/08 @ 15:00:00;1;8;15;18.8;11.7;101.22;42;5.65;294.84;667;123;2.3
2002/01/08 @ 16:00:00;1;8;16;17.9;11.27;101.18;44;5.51;135.83;163;122;2
2002/01/08 @ 17:00:00;1;8;17;16.3;11.11;101.32;53;6.74;0;0;0;1.5
2002/01/08 @ 18:00:00;1;8;18;15.2;10.65;101.26;57;6.77;0;0;0;1.4
2002/01/08 @ 19:00:00;1;8;19;14.4;9.96;101.22;57;6.02;0;0;0;1.3
2002/01/08 @ 20:00:00;1;8;20;13.7;9.04;101.16;54;4.58;0;0;0;1.2
2002/01/08 @ 21:00:00;1;8;21;12.8;8.49;101.22;56;4.26;0;0;0;1
2002/01/08 @ 22:00:00;1;8;22;12.1;7.9;101.26;56;3.6;0;0;0;0.8
2002/01/08 @ 23:00:00;1;8;23;12.1;8;101.3;57;3.86;0;0;0;0.5
2002/01/09 @ 00:00:00;1;9;0;11.4;7.5;101.31;58;3.44;0;0;0;0.8
2002/01/09 @ 01:00:00;1;9;1;11;7.83;101.32;65;4.7;0;0;0;1.1
2002/01/09 @ 02:00:00;1;9;2;10.7;7.85;101.32;68;5.06;0;0;0;1.2
2002/01/09 @ 03:00:00;1;9;3;10.5;7.67;101.36;68;4.87;0;0;0;1.2
2002/01/09 @ 04:00:00;1;9;4;10.6;7.66;101.38;67;4.75;0;0;0;1.1
2002/01/09 @ 05:00:00;1;9;5;10.7;7.57;101.41;65;4.41;0;0;0;1
2002/01/09 @ 06:00:00;1;9;6;11.1;8.4;101.5;70;5.86;0;0;0;0.9
2002/01/09 @ 07:00:00;1;9;7;12.2;9.3;101.58;69;6.71;0;0;0;0.8
2002/01/09 @ 08:00:00;1;9;8;13.7;9.7;101.64;60;6.11;155.08;240;94;0.8
2002/01/09 @ 09:00:00;1;9;9;16.6;10.62;101.65;47;5.27;329.45;528;120;1.4
2002/01/09 @ 10:00:00;1;9;10;19.4;11.33;101.68;36;3.97;504.37;670;171;1.9
2002/01/09 @ 11:00:00;1;9;11;21.8;12.81;101.65;34;5.28;566.42;744;157;2.3
2002/01/09 @ 12:00:00;1;9;12;23.1;13.93;101.63;35;6.84;596.35;777;168;2.6
2002/01/09 @ 13:00:00;1;9;13;22.8;14.04;101.65;37;7.39;538.86;777;150;2.8
2002/01/09 @ 14:00:00;1;9;14;22;13.75;101.64;39;7.45;443.55;744;145;2.8
2002/01/09 @ 15:00:00;1;9;15;19.4;12.61;101.66;45;7.2;296.27;669;122;2.6
2002/01/09 @ 16:00:00;1;9;16;17.5;12.74;101.68;58;9.18;169.31;528;123;2.4
2002/01/09 @ 17:00:00;1;9;17;17.5;13.35;101.82;63;10.42;0;0;0;2.1
2002/01/09 @ 18:00:00;1;9;18;16.1;12.92;101.71;70;10.66;0;0;0;1.7
2002/01/09 @ 19:00:00;1;9;19;15.6;12.36;101.67;69;9.97;0;0;0;1.4
2002/01/09 @ 20:00:00;1;9;20;15;11.27;101.59;64;8.28;0;0;0;1.2
2002/01/09 @ 21:00:00;1;9;21;14.6;10.92;101.59;64;7.9;0;0;0;1.2
2002/01/09 @ 22:00:00;1;9;22;14.2;10.56;101.59;64;7.52;0;0;0;1.2
2002/01/09 @ 23:00:00;1;9;23;14;9.96;101.58;60;6.39;0;0;0;1
2002/01/10 @ 00:00:00;1;10;0;13.5;9.74;101.57;62;6.39;0;0;0;1.1
2002/01/10 @ 01:00:00;1;10;1;12.8;9.23;101.56;63;5.96;0;0;0;1.2
2002/01/10 @ 02:00:00;1;10;2;12.6;9.05;101.56;63;5.77;0;0;0;1.1
2002/01/10 @ 03:00:00;1;10;3;12.3;8.69;101.59;62;5.25;0;0;0;1.2
2002/01/10 @ 04:00:00;1;10;4;12.8;9.23;101.66;63;5.96;0;0;0;1.2
2002/01/10 @ 05:00:00;1;10;5;13.2;8.95;101.7;57;4.89;0;0;0;1.3
2002/01/10 @ 06:00:00;1;10;6;13.7;10.44;101.75;67;7.72;0;0;0;1.2
2002/01/10 @ 07:00:00;1;10;7;14.6;11.35;101.86;68;8.8;0;0;0;1.2
2002/01/10 @ 08:00:00;1;10;8;15.7;11.66;101.87;62;8.48;242.51;241;181;1.3
2002/01/10 @ 09:00:00;1;10;9;17.8;11.34;101.8;45;5.74;361.45;529;151;1.4
2002/01/10 @ 10:00:00;1;10;10;20.7;12.91;101.79;40;6.66;460.91;671;126;1.6
2002/01/10 @ 11:00:00;1;10;11;22.7;13.47;101.74;34;6.07;580.43;745;169;1.4
2002/01/10 @ 12:00:00;1;10;12;23.6;13.44;101.7;30;5.05;568.71;778;138;1.6
2002/01/10 @ 13:00:00;1;10;13;23.7;13.16;101.7;28;4.14;518.33;758;137;1.7
2002/01/10 @ 14:00:00;1;10;14;23.1;13.25;101.67;31;5.08;360.64;353;218;1.7
2002/01/10 @ 15:00:00;1;10;15;22.7;13.3;101.69;33;5.64;222.08;118;191;1.5
2002/01/10 @ 16:00:00;1;10;16;22;13.11;101.63;35;5.87;70.91;10;70;1.4
2002/01/10 @ 17:00:00;1;10;17;20.1;12.73;101.62;42;6.83;0;0;0;1.2
2002/01/10 @ 18:00:00;1;10;18;17.5;12.12;101.65;53;7.85;0;0;0;1.2
2002/01/10 @ 19:00:00;1;10;19;16.1;12.12;101.7;63;9.09;0;0;0;1.2
2002/01/10 @ 20:00:00;1;10;20;15.2;11.89;101.74;68;9.37;0;0;0;1.2
2002/01/10 @ 21:00:00;1;10;21;15.3;11.31;101.68;62;8.1;0;0;0;1.4
2002/01/10 @ 22:00:00;1;10;22;15.9;9.81;101.67;45;4;32;0;32;1.7
2002/01/10 @ 23:00:00;1;10;23;16.3;8.86;101.68;35;0.8;0;0;0;2
2002/01/11 @ 00:00:00;1;11;0;16;8.89;101.66;37;1.32;0;0;0;1.9
2002/01/11 @ 01:00:00;1;11;1;15;9.09;101.57;45;3.18;0;0;0;1.6
2002/01/11 @ 02:00:00;1;11;2;14.1;8.94;101.56;50;3.85;0;0;0;1.2
2002/01/11 @ 03:00:00;1;11;3;13.6;8.74;101.58;52;3.95;0;0;0;1.4
2002/01/11 @ 04:00:00;1;11;4;13.5;8.55;101.59;51;3.58;0;0;0;1.6
2002/01/11 @ 05:00:00;1;11;5;14.3;8.06;101.68;41;1.22;0;0;0;2
2002/01/11 @ 06:00:00;1;11;6;15.6;8.96;101.59;40;2.05;0;0;0;1.8
2002/01/11 @ 07:00:00;1;11;7;17.6;8.99;101.54;29;-0.55;0;0;0;1.7
2002/01/11 @ 08:00:00;1;11;8;19.9;10.79;101.56;30;1.82;163.97;242;102;1.7
2002/01/11 @ 09:00:00;1;11;9;22.8;12.34;101.48;27;2.85;348.51;530;137;2
2002/01/11 @ 10:00:00;1;11;10;24.1;13.06;101.39;26;3.42;477.03;671;141;2.2
2002/01/11 @ 11:00:00;1;11;11;26.1;14.23;101.29;25;4.57;623.52;746;210;2.4
2002/01/11 @ 12:00:00;1;11;12;26.3;14.36;101.24;25;4.74;598.14;779;165;2.4
2002/01/11 @ 13:00:00;1;11;13;26.4;14.43;101.2;25;4.82;548.99;779;155;2.3
2002/01/11 @ 14:00:00;1;11;14;25.2;14.18;101.13;28;5.43;410.55;623;157;2.2
