Time;MM;DD;hh;T_dry;T_wb;P;RH;T_dp;ghi;dni;dhi;v_wind
2002/09/30 @ 18:00:00;9;30;18;15.5;10.92;102.28;57;7.05;40;177;40;1.9
2002/09/30 @ 19:00:00;9;30;19;15.6;11.13;102.33;58;7.4;1;0;1;2.5
2002/09/30 @ 20:00:00;9;30;20;15.1;10.7;102.34;58;6.93;0;0;0;3.1
2002/09/30 @ 21:00:00;9;30;21;14.7;10.91;102.33;63;7.77;0;0;0;3.5
2002/09/30 @ 22:00:00;9;30;22;13.8;10.43;102.33;66;7.59;0;0;0;3.5
2002/09/30 @ 23:00:00;9;30;23;12.6;9.56;102.28;68;6.88;0;0;0;4.1
2002/10/01 @ 00:00:00;10;1;0;10.5;8.5;102.27;77;6.67;0;0;0;4.4
2002/10/01 @ 01:00:00;10;1;1;10;8.21;102.31;79;6.55;0;0;0;4.1
2002/10/01 @ 02:00:00;10;1;2;9.3;7.73;102.32;81;6.23;0;0;0;4.1
2002/10/01 @ 03:00:00;10;1;3;9;7.53;102.24;82;6.12;0;0;0;3.1
2002/10/01 @ 04:00:00;10;1;4;7.2;5.74;102.25;81;4.17;0;0;0;3.1
2002/10/01 @ 05:00:00;10;1;5;6.5;5.08;102.14;81;3.49;0;0;0;2.5
2002/10/01 @ 06:00:00;10;1;6;10.3;8.93;102.2;84;7.75;122;0;122;3.1
2002/10/01 @ 07:00:00;10;1;7;12.9;11.79;102.12;88;10.99;233.91;140;206;3.1
2002/10/01 @ 08:00:00;10;1;8;14.1;13.14;102.02;90;12.52;390.44;442;237;3.6
2002/10/01 @ 09:00:00;10;1;9;16.9;14.55;101.87;78;13.07;508.8;606;225;3.8
2002/10/01 @ 10:00:00;10;1;10;19.5;15.36;101.84;65;12.78;581.63;699;194;4.1
2002/10/01 @ 11:00:00;10;1;11;21.7;16.62;101.41;60;13.63;637.79;753;186;5.2
2002/10/01 @ 12:00:00;10;1;12;23;16.86;101.64;54;13.23;549.53;616;179;3.1
2002/10/01 @ 13:00:00;10;1;13;22.6;16.52;101.58;54;12.86;471.69;427;233;3.1
2002/10/01 @ 14:00:00;10;1;14;22.3;16.27;101.59;54;12.58;399.57;342;237;3.1
2002/10/01 @ 15:00:00;10;1;15;21.1;15.27;101.84;54;11.47;277.08;149;224;1.7
2002/10/01 @ 16:00:00;10;1;16;20.1;14.84;101.86;57;11.36;163.54;55;152;2.5
2002/10/01 @ 17:00:00;10;1;17;18.2;13.22;101.86;57;9.58;81.42;31;80;3.5
2002/10/01 @ 18:00:00;10;1;18;17;12.19;101.82;57;8.46;57;164;57;3.3
2002/10/01 @ 19:00:00;10;1;19;15.7;10.97;101.92;56;6.98;19;0;19;3.1
2002/10/01 @ 20:00:00;10;1;20;14.6;9.81;102;54;5.42;0;0;0;3.1
2002/10/01 @ 21:00:00;10;1;21;12.2;8.41;102.1;60;4.69;0;0;0;2.5
2002/10/01 @ 22:00:00;10;1;22;11.1;8.21;102.01;68;5.44;0;0;0;3.1
2002/10/01 @ 23:00:00;10;1;23;9.7;7.4;102.14;73;5.12;0;0;0;2.8
2002/10/02 @ 00:00:00;10;2;0;8.5;6.64;102.13;77;4.72;0;0;0;2.8
2002/10/02 @ 01:00:00;10;2;1;6.9;5.23;102.15;78;3.34;0;0;0;2.5
2002/10/02 @ 02:00:00;10;2;2;5.6;4.09;102.19;79;2.25;0;0;0;2.5
2002/10/02 @ 03:00:00;10;2;3;5.8;4.05;102.2;76;1.89;0;0;0;2.8
2002/10/02 @ 04:00:00;10;2;4;5.6;3.42;102.25;70;0.54;0;0;0;3.1
