Time;MM;DD;hh;T_dry;T_wb;P;RH;T_dp;ghi;dni;dhi;v_wind
2002/01/04 @ 15:00:00;1;4;15;30.6;23.24;100.79;54;20.25;354.73;58;317;0.4
2002/01/04 @ 16:00:00;1;4;16;30.4;23.62;100.77;57;20.94;268.95;59;242;0.6
2002/01/04 @ 17:00:00;1;4;17;29.6;23.28;100.76;59;20.75;168.38;66;153;0.9
2002/01/04 @ 18:00:00;1;4;18;29.1;23.19;100.81;61;20.82;42;32;42;1
2002/01/04 @ 19:00:00;1;4;19;28;22.56;100.87;63;20.31;0;0;0;1.2
2002/01/04 @ 20:00:00;1;4;20;27.1;21.61;100.92;62;19.21;0;0;0;1.6
2002/01/04 @ 21:00:00;1;4;21;26.7;22.04;100.93;67;20.08;0;0;0;1.6
2002/01/04 @ 22:00:00;1;4;22;26;21.87;100.95;70;20.12;0;0;0;1.7
2002/01/04 @ 23:00:00;1;4;23;25.6;21.94;100.97;73;20.41;0;0;0;1.7
2002/01/05 @ 00:00:00;1;5;0;25;21.82;100.95;76;20.49;0;0;0;1.7
2002/01/05 @ 01:00:00;1;5;1;24.9;22.14;100.94;79;21.02;0;0;0;1.8
2002/01/05 @ 02:00:00;1;5;2;24.3;22.91;100.92;89;22.38;0;0;0;2
2002/01/05 @ 03:00:00;1;5;3;24;23.13;100.91;93;22.8;0;0;0;1.9
2002/01/05 @ 04:00:00;1;5;4;24.1;24.1;100.91;100;24.1;0;0;0;2
2002/01/05 @ 05:00:00;1;5;5;24.4;24.4;100.9;100;24.4;0;0;0;2
2002/01/05 @ 06:00:00;1;5;6;24.9;24.9;100.93;100;24.9;0;0;0;2
2002/01/05 @ 07:00:00;1;5;7;26;25.22;100.96;94;24.96;65.59;28;58;1.9
2002/01/05 @ 08:00:00;1;5;8;28;25.93;101;85;25.24;198.46;60;169;1.9
2002/01/05 @ 09:00:00;1;5;9;29.7;25.87;100.95;74;24.57;373.56;132;284;1.7
2002/01/05 @ 10:00:00;1;5;10;31.1;25.65;100.9;65;23.74;785.05;703;208;1.7
2002/01/05 @ 11:00:00;1;5;11;32.6;25.32;100.85;56;22.69;1138.12;925;298;1.7
2002/01/05 @ 12:00:00;1;5;12;34.4;25.21;100.77;48;21.81;1405.43;944;523;1.8
2002/01/05 @ 13:00:00;1;5;13;35.4;25.81;100.68;47;22.37;1399.5;942;553;2.1
2002/01/05 @ 14:00:00;1;5;14;36.2;25.32;100.59;42;21.25;1108.26;919;371;2.1
2002/01/05 @ 15:00:00;1;5;15;34.1;23.88;100.6;43;19.76;789.4;870;222;1.7
2002/01/05 @ 16:00:00;1;5;16;33.3;24.1;100.6;47;20.47;378.42;256;261;1.5
2002/01/05 @ 17:00:00;1;5;17;32.1;23.12;100.61;47;19.39;173.38;74;156;1.1
2002/01/05 @ 18:00:00;1;5;18;31.4;23.72;100.71;53;20.68;33;13;33;1.3
2002/01/05 @ 19:00:00;1;5;19;30.3;23.71;100.81;58;21.13;0;0;0;1.9
2002/01/05 @ 20:00:00;1;5;20;29.5;23.71;100.91;62;21.46;0;0;0;2.2
2002/01/05 @ 21:00:00;1;5;21;28.9;24.02;100.98;67;22.16;0;0;0;2
2002/01/05 @ 22:00:00;1;5;22;28.6;24.23;101.05;70;22.6;0;0;0;1.9
2002/01/05 @ 23:00:00;1;5;23;27.9;24.06;101.12;73;22.62;0;0;0;1.7
2002/01/06 @ 00:00:00;1;6;0;27.4;24.2;101.09;77;23.01;0;0;0;1.4
2002/01/06 @ 01:00:00;1;6;1;27;24.12;101.05;79;23.05;0;0;0;1.1
2002/01/06 @ 02:00:00;1;6;2;26.8;24.36;101.02;82;23.47;0;0;0;0.8
2002/01/06 @ 03:00:00;1;6;3;26.6;24.73;100.95;86;24.07;23;0;23;0.8
2002/01/06 @ 04:00:00;1;6;4;26.3;24.85;100.88;89;24.34;0;0;0;0.7
2002/01/06 @ 05:00:00;1;6;5;26.1;25.06;100.81;92;24.7;0;0;0;0.6
2002/01/06 @ 06:00:00;1;6;6;25.8;25.03;100.83;94;24.76;0;0;0;0.6
2002/01/06 @ 07:00:00;1;6;7;26.1;25.19;100.84;93;24.88;31.08;4;30;0.9
2002/01/06 @ 08:00:00;1;6;8;26.8;25.47;100.85;90;25.02;87.94;6;85;1
2002/01/06 @ 09:00:00;1;6;9;27.9;25.69;100.82;84;24.94;207.2;18;195;1
2002/01/06 @ 10:00:00;1;6;10;30;26.14;100.78;74;24.85;401.91;73;342;1.2
2002/01/06 @ 11:00:00;1;6;11;31.2;26.59;100.74;70;25.07;697.35;346;383;1.3
2002/01/06 @ 12:00:00;1;6;12;31.9;26.36;100.71;65;24.5;886.24;648;280;1.5
2002/01/06 @ 13:00:00;1;6;13;32.9;26.52;100.68;61;24.38;932.65;802;211;1.8
2002/01/06 @ 14:00:00;1;6;14;32.4;25.33;100.65;57;22.79;827.9;770;209;2.1
2002/01/06 @ 15:00:00;1;6;15;32.3;25.25;100.64;57;22.7;597.39;493;275;1.7
2002/01/06 @ 16:00:00;1;6;16;32;25.17;100.63;58;22.71;329.71;134;268;1.4
2002/01/06 @ 17:00:00;1;6;17;31.2;24.85;100.62;60;22.52;152.18;43;142;1
2002/01/06 @ 18:00:00;1;6;18;30.8;24.85;100.68;62;22.68;33;12;33;1.3
2002/01/06 @ 19:00:00;1;6;19;30;24.66;100.75;65;22.71;0;0;0;1.5
2002/01/06 @ 20:00:00;1;6;20;29.6;24.64;100.81;67;22.83;0;0;0;1.7
2002/01/06 @ 21:00:00;1;6;21;28.8;24.41;100.85;70;22.79;0;0;0;2
2002/01/06 @ 22:00:00;1;6;22;27.8;24.27;100.88;75;22.97;0;0;0;2.4
2002/01/06 @ 23:00:00;1;6;23;26.3;23.03;100.91;76;21.74;0;0;0;3
2002/01/07 @ 00:00:00;1;7;0;25.9;22.8;100.88;77;21.57;0;0;0;2.7
2002/01/07 @ 01:00:00;1;7;1;26.5;23.93;100.86;81;22.98;0;0;0;2.2
2002/01/07 @ 02:00:00;1;7;2;26.8;24.36;100.83;82;23.47;0;0;0;2
2002/01/07 @ 03:00:00;1;7;3;27;24.55;100.8;82;23.67;0;0;0;1.8
2002/01/07 @ 04:00:00;1;7;4;26.5;24.35;100.78;84;23.58;1;0;1;1.6
2002/01/07 @ 05:00:00;1;7;5;26.5;24.49;100.75;85;23.77;0;0;0;1.6
2002/01/07 @ 06:00:00;1;7;6;26.3;24.98;100.78;90;24.53;0;0;0;1.5
2002/01/07 @ 07:00:00;1;7;7;27.1;25.9;100.81;91;25.5;45.95;11;43;1.6
2002/01/07 @ 08:00:00;1;7;8;28.4;26.31;100.84;85;25.63;148.73;24;137;1.8
2002/01/07 @ 09:00:00;1;7;9;29.9;26.53;100.82;77;25.42;314.75;72;266;2.1
2002/01/07 @ 10:00:00;1;7;10;31.3;26.68;100.81;70;25.17;666.92;446;301;2.4
2002/01/07 @ 11:00:00;1;7;11;32.8;26.61;100.79;62;24.56;1064.71;925;224;2.9
2002/01/07 @ 12:00:00;1;7;12;33.9;26.82;100.76;58;24.47;1225.93;944;342;2.8
2002/01/07 @ 13:00:00;1;7;13;34.3;26.17;100.73;53;23.35;1091.68;943;242;2.8
2002/01/07 @ 14:00:00;1;7;14;33.8;26.34;100.7;56;23.8;891.89;920;151;2.5
2002/01/07 @ 15:00:00;1;7;15;32.8;24.9;100.67;53;21.97;613.73;541;259;2.3
2002/01/07 @ 16:00:00;1;7;16;32.6;25.31;100.64;56;22.69;373.27;232;266;1.9
2002/01/07 @ 17:00:00;1;7;17;32;24.99;100.61;57;22.42;208.31;169;168;1.5
2002/01/07 @ 18:00:00;1;7;18;31;24.49;100.66;59;22.06;52;71;52;2
2002/01/07 @ 19:00:00;1;7;19;31;24.67;100.7;60;22.33;0;0;0;2.4
2002/01/07 @ 20:00:00;1;7;20;30;24.15;100.75;62;21.93;0;0;0;2.8
2002/01/07 @ 21:00:00;1;7;21;28.6;24.23;100.81;70;22.6;0;0;0;3.3
2002/01/07 @ 22:00:00;1;7;22;25.5;22.14;100.88;75;20.76;0;0;0;4.6
2002/01/07 @ 23:00:00;1;7;23;25.3;23.07;100.95;83;22.21;0;0;0;4.8
2002/01/08 @ 00:00:00;1;8;0;24.5;22.18;100.94;82;21.24;0;0;0;3.7
2002/01/08 @ 01:00:00;1;8;1;24.7;23.3;100.92;89;22.77;0;0;0;2.4
2002/01/08 @ 02:00:00;1;8;2;25.3;24.14;100.91;91;23.73;0;0;0;1.3
2002/01/08 @ 03:00:00;1;8;3;25.5;24.34;100.9;91;23.92;0;0;0;0.9
2002/01/08 @ 04:00:00;1;8;4;25.4;24.37;100.9;92;24.01;0;0;0;0.6
2002/01/08 @ 05:00:00;1;8;5;25.5;24.47;100.9;92;24.1;0;0;0;0.2
2002/01/08 @ 06:00:00;1;8;6;25.4;24.63;100.92;94;24.36;0;0;0;0.4
2002/01/08 @ 07:00:00;1;8;7;25.5;24.6;100.94;93;24.28;47.2;12;44;0.7
2002/01/08 @ 08:00:00;1;8;8;26.6;24.59;100.95;85;23.87;52.98;2;52;1.1
2002/01/08 @ 09:00:00;1;8;9;27.9;24.81;100.91;78;23.71;181.79;13;173;1.8
2002/01/08 @ 10:00:00;1;8;10;30.1;26.24;100.87;74;24.95;331.35;37;301;2.5
2002/01/08 @ 11:00:00;1;8;11;31.2;26.25;100.83;68;24.59;546.39;139;420;3
2002/01/08 @ 12:00:00;1;8;12;32.6;26.44;100.79;62;24.37;779.87;432;375;3
2002/01/08 @ 13:00:00;1;8;13;33.6;26.56;100.76;58;24.19;912.33;754;232;2.9
2002/01/08 @ 14:00:00;1;8;14;32.6;26.07;100.72;60;23.82;874.63;877;167;2.4
2002/01/08 @ 15:00:00;1;8;15;32;25.36;100.74;59;22.99;652.24;662;217;2.7
2002/01/08 @ 16:00:00;1;8;16;31.1;24.76;100.77;60;22.42;336.85;144;270;2.6
2002/01/08 @ 17:00:00;1;8;17;29.7;23.72;100.79;61;21.39;128.53;23;123;2.8
2002/01/08 @ 18:00:00;1;8;18;28.7;23.34;100.87;64;21.23;0;0;0;2.9
2002/01/08 @ 19:00:00;1;8;19;27.6;22.53;100.94;65;20.44;0;0;0;3.1
2002/01/08 @ 20:00:00;1;8;20;26.5;21.71;101.02;66;19.65;0;0;0;3.2
2002/01/08 @ 21:00:00;1;8;21;26;21.57;101.07;68;19.65;0;0;0;3.2
2002/01/08 @ 22:00:00;1;8;22;25.8;21.84;101.11;71;20.16;18;0;18;3.1
2002/01/08 @ 23:00:00;1;8;23;25.7;22.04;101.16;73;20.51;0;0;0;3.3
2002/01/09 @ 00:00:00;1;9;0;25.8;22.42;101.09;75;21.04;0;0;0;2.5
2002/01/09 @ 01:00:00;1;9;1;25.3;21.96;101.03;75;20.56;0;0;0;1.8
2002/01/09 @ 02:00:00;1;9;2;25.6;22.38;100.96;76;21.07;0;0;0;1.2
2002/01/09 @ 03:00:00;1;9;3;25.1;22.47;100.96;80;21.42;0;0;0;0.8
2002/01/09 @ 04:00:00;1;9;4;25.3;22.94;100.95;82;22.01;0;0;0;0.4
2002/01/09 @ 05:00:00;1;9;5;25.5;23.26;100.94;83;22.41;0;0;0;0.3
2002/01/09 @ 06:00:00;1;9;6;26.4;24.54;100.92;86;23.87;0;0;0;1
2002/01/09 @ 07:00:00;1;9;7;27.1;24.64;100.9;82;23.76;127.39;209;72;2.2
2002/01/09 @ 08:00:00;1;9;8;29.1;26.24;100.88;80;25.29;295.34;235;181;3.3
2002/01/09 @ 09:00:00;1;9;9;30.6;26.04;100.86;70;24.5;491.88;346;258;2.9
2002/01/09 @ 10:00:00;1;9;10;31.7;25.83;100.84;63;23.79;904.65;881;182;2.5
2002/01/09 @ 11:00:00;1;9;11;32.4;25.71;100.82;59;23.36;1168.45;925;327;2.3
2002/01/09 @ 12:00:00;1;9;12;33.2;25.24;100.77;53;22.34;1267.5;945;381;2.2
2002/01/09 @ 13:00:00;1;9;13;34;24.88;100.73;48;21.45;1157.06;943;305;1.8
2002/01/09 @ 14:00:00;1;9;14;32.9;23.77;100.69;47;20.11;912.58;921;168;1.5
2002/01/09 @ 15:00:00;1;9;15;32.9;23.77;100.69;47;20.11;613.7;532;263;1.3
2002/01/09 @ 16:00:00;1;9;16;32.1;23.33;100.7;48;19.72;340.9;150;271;1.3
2002/01/09 @ 17:00:00;1;9;17;31.9;22.76;100.7;46;18.86;173.46;68;157;1.1
2002/01/09 @ 18:00:00;1;9;18;31.1;22.9;100.77;50;19.47;46.08;34;46;1.7
2002/01/09 @ 19:00:00;1;9;19;30.4;23.44;100.84;56;20.65;0;0;0;2.2
2002/01/09 @ 20:00:00;1;9;20;29.5;23.37;100.91;60;20.93;15;0;15;2.9
2002/01/09 @ 21:00:00;1;9;21;28.4;22.75;100.97;62;20.43;0;0;0;3.2
2002/01/09 @ 22:00:00;1;9;22;27.6;22.85;101.04;67;20.93;0;0;0;3.1
2002/01/09 @ 23:00:00;1;9;23;26;22.17;101.1;72;20.57;0;0;0;3.3
2002/01/10 @ 00:00:00;1;10;0;25.1;21.63;101.07;74;20.15;12;0;12;3.2
2002/01/10 @ 01:00:00;1;10;1;25.1;21.91;101.05;76;20.58;0;0;0;2.8
2002/01/10 @ 02:00:00;1;10;2;25;22.1;101.02;78;20.91;0;0;0;2
2002/01/10 @ 03:00:00;1;10;3;24.7;21.96;100.99;79;20.82;0;0;0;1.8
2002/01/10 @ 04:00:00;1;10;4;24.8;22.6;100.95;83;21.72;0;0;0;1.6
2002/01/10 @ 05:00:00;1;10;5;25.4;23.58;100.92;86;22.89;0;0;0;1
2002/01/10 @ 06:00:00;1;10;6;26.3;24.44;100.89;86;23.77;0;0;0;1.1
2002/01/10 @ 07:00:00;1;10;7;27;24.55;100.86;82;23.67;172.07;372;74;1.3
2002/01/10 @ 08:00:00;1;10;8;28.5;25.37;100.83;78;24.29;354.66;405;158;1.4
2002/01/10 @ 09:00:00;1;10;9;29.9;25.24;100.81;69;23.6;588.07;579;197;1.4
2002/01/10 @ 10:00:00;1;10;10;31.6;25.74;100.78;63;23.7;935.81;880;214;1.4
2002/01/10 @ 11:00:00;1;10;11;32.5;24.84;100.76;54;22;1145.88;925;304;1.5
2002/01/10 @ 12:00:00;1;10;12;33.1;24.75;100.7;51;21.62;1264.36;945;377;1.6
2002/01/10 @ 13:00:00;1;10;13;34.1;24.32;100.64;45;20.49;1234.19;944;380;1.8
2002/01/10 @ 14:00:00;1;10;14;34.8;24.66;100.58;44;20.76;1038.04;921;292;1.7
2002/01/10 @ 15:00:00;1;10;15;34.4;23.9;100.53;42;19.65;786.03;873;209;1.6
2002/01/10 @ 16:00:00;1;10;16;34.2;24.61;100.48;46;20.94;433.58;448;224;1.4
2002/01/10 @ 17:00:00;1;10;17;32.8;24.1;100.43;49;20.69;231.27;276;164;1.1
2002/01/10 @ 18:00:00;1;10;18;31.9;24.52;100.57;55;21.74;69.27;319;68;2.4
2002/01/10 @ 19:00:00;1;10;19;30.8;24.85;100.72;62;22.68;0;0;0;3.4
2002/01/10 @ 20:00:00;1;10;20;26.2;24.48;100.86;87;23.87;0;0;0;6
2002/01/10 @ 21:00:00;1;10;21;26.6;22.11;100.9;68;20.22;0;0;0;4
2002/01/10 @ 22:00:00;1;10;22;26.5;22.17;100.94;69;20.36;0;0;0;2.9
2002/01/10 @ 23:00:00;1;10;23;26.2;21.75;100.97;68;19.84;0;0;0;1.8
2002/01/11 @ 00:00:00;1;11;0;26.2;22.05;100.96;70;20.31;0;0;0;1.5
2002/01/11 @ 01:00:00;1;11;1;26;22.16;100.94;72;20.57;0;0;0;1.3
2002/01/11 @ 02:00:00;1;11;2;26.2;22.64;100.93;74;21.21;0;0;0;1.1
2002/01/11 @ 03:00:00;1;11;3;26.6;23.01;100.91;74;21.59;0;0;0;0.7
2002/01/11 @ 04:00:00;1;11;4;26.9;23.58;100.88;76;22.32;0;0;0;0.5
2002/01/11 @ 05:00:00;1;11;5;26.7;23.98;100.86;80;22.97;0;0;0;0.1
2002/01/11 @ 06:00:00;1;11;6;26.6;24.03;100.9;81;23.07;0;0;0;0.2
2002/01/11 @ 07:00:00;1;11;7;26.6;24.03;100.94;81;23.07;56.77;22;51;0.2
2002/01/11 @ 08:00:00;1;11;8;26.6;23.45;100.98;77;22.24;165.96;35;149;0.3
2002/01/11 @ 09:00:00;1;11;9;27.2;23.41;100.94;73;21.95;261.32;39;235;0.2
2002/01/11 @ 10:00:00;1;11;10;28.7;24.32;100.9;70;22.69;355.37;48;316;0.6
2002/01/11 @ 11:00:00;1;11;11;30.2;25.01;100.87;66;23.15;467.12;77;397;0.7
2002/01/11 @ 12:00:00;1;11;12;30.8;25.2;100.8;64;23.2;603.21;163;450;0.5
2002/01/11 @ 13:00:00;1;11;13;31.3;24.93;100.74;60;22.61;688.79;290;426;0.4
2002/01/11 @ 14:00:00;1;11;14;32;25.17;100.68;58;22.71;675.61;379;368;0.2
2002/01/11 @ 15:00:00;1;11;15;31.9;25.09;100.67;58;22.61;521.28;266;345;0.4
2002/01/11 @ 16:00:00;1;11;16;32;25.17;100.65;58;22.71;321.6;112;269;0.4
2002/01/11 @ 17:00:00;1;11;17;31.9;25.46;100.64;60;23.17;165.01;53;152;0.3
2002/01/11 @ 18:00:00;1;11;18;30.3;24.76;100.73;64;22.73;44.14;25;44;0.9
2002/01/11 @ 19:00:00;1;11;19;28.3;23.31;100.82;66;21.35;0;0;0;1.3
2002/01/11 @ 20:00:00;1;11;20;26.9;22.68;100.9;70;20.98;0;0;0;2
2002/01/11 @ 21:00:00;1;11;21;25.8;21.69;100.93;70;19.93;0;0;0;2.1
2002/01/11 @ 22:00:00;1;11;22;25.1;21.34;100.96;72;19.71;0;0;0;2.4
2002/01/11 @ 23:00:00;1;11;23;25.4;21.32;100.99;70;19.55;0;0;0;2.8
2002/01/12 @ 00:00:00;1;12;0;25.4;21.62;100.97;72;20;0;0;0;2
2002/01/12 @ 01:00:00;1;12;1;25.1;21.77;100.95;75;20.37;0;0;0;1.8
2002/01/12 @ 02:00:00;1;12;2;24.9;22.01;100.93;78;20.81;0;0;0;1.5
2002/01/12 @ 03:00:00;1;12;3;24.6;22;100.89;80;20.93;0;0;0;1.1
2002/01/12 @ 04:00:00;1;12;4;24.9;22.56;100.85;82;21.62;0;0;0;0.9
2002/01/12 @ 05:00:00;1;12;5;25.3;22.93;100.81;82;22.01;1;0;1;0.6
2002/01/12 @ 06:00:00;1;12;6;25.6;23.49;100.81;84;22.7;0;0;0;0.8
2002/01/12 @ 07:00:00;1;12;7;26.2;23.79;100.81;82;22.89;51.44;17;47;1.3
2002/01/12 @ 08:00:00;1;12;8;26.9;24.02;100.81;79;22.95;160.48;32;145;1.6
2002/01/12 @ 09:00:00;1;12;9;27.9;23.9;100.82;72;22.39;282.4;51;248;1.9
