Time;MM;DD;hh;T_dry;T_wb;P;RH;T_dp;ghi;dni;dhi;v_wind
2002/01/05 @ 07:00:00;1;5;7;10.9;10.21;102.01;92;9.68;0;0;0;6.4
2002/01/05 @ 08:00:00;1;5;8;11;10.31;101.91;92;9.78;0;0;0;6.5
2002/01/05 @ 09:00:00;1;5;9;11.1;10.32;101.8;91;9.72;5.08;1;5;6.7
2002/01/05 @ 10:00:00;1;5;10;11.1;10.23;102.01;90;9.55;17.18;1;17;6.4
2002/01/05 @ 11:00:00;1;5;11;11.4;10.07;102.14;85;9;65;8;63;6.3
2002/01/05 @ 12:00:00;1;5;12;11.8;10.27;102.15;83;9.04;63.69;6;62;6.3
2002/01/05 @ 13:00:00;1;5;13;11.8;10.27;102.18;83;9.04;39.55;2;39;5.9
2002/01/05 @ 14:00:00;1;5;14;11.8;10.27;102.27;83;9.04;41.91;4;41;5.8
2002/01/05 @ 15:00:00;1;5;15;11.4;9.7;102.17;81;8.29;27.58;4;27;5.5
2002/01/05 @ 16:00:00;1;5;16;11.7;9.9;102.37;80;8.4;20.87;120;17;5.5
2002/01/05 @ 17:00:00;1;5;17;11.6;9.62;102.4;78;7.93;0;0;0;5.4
2002/01/05 @ 18:00:00;1;5;18;11.1;9.06;102.42;77;7.25;0;0;0;5.6
2002/01/05 @ 19:00:00;1;5;19;10.4;8.23;102.29;75;6.19;0;0;0;5.4
2002/01/05 @ 20:00:00;1;5;20;9;6.68;102.3;72;4.24;0;0;0;5.1
2002/01/05 @ 21:00:00;1;5;21;8.4;5.96;102.45;70;3.26;0;0;0;5.1
2002/01/05 @ 22:00:00;1;5;22;7.9;5.34;102.5;68;2.36;0;0;0;5
2002/01/05 @ 23:00:00;1;5;23;6.9;4.52;102.74;69;1.6;0;0;0;4.7
2002/01/06 @ 00:00:00;1;6;0;6.3;3.99;103.1;69;1.02;0;0;0;4.4
2002/01/06 @ 01:00:00;1;6;1;5.2;2.99;103.24;69;-0.01;0;0;0;4.2
2002/01/06 @ 02:00:00;1;6;2;4.2;2.01;103.26;68;-1.03;0;0;0;3.9
2002/01/06 @ 03:00:00;1;6;3;3.6;1.4;103.28;67;-1.72;0;0;0;3.6
2002/01/06 @ 04:00:00;1;6;4;3.1;0.95;103.28;67;-2.14;0;0;0;3.6
2002/01/06 @ 05:00:00;1;6;5;2.2;0.13;103.25;67;-2.9;0;0;0;3.2
2002/01/06 @ 06:00:00;1;6;6;1.6;-0.45;103.14;66;-3.59;0;0;0;3
