Time;MM;DD;hh;T_dry;T_wb;P;RH;T_dp;ghi;dni;dhi;v_wind
2002/01/06 @ 02:00:00;1;6;2;28.3;27.07;101.19;91;26.68;0;0;0;3
2002/01/06 @ 03:00:00;1;6;3;28.2;26.97;101.21;91;26.58;0;0;0;3
2002/01/06 @ 04:00:00;1;6;4;28;26.78;101.23;91;26.39;0;0;0;2.9
2002/01/06 @ 05:00:00;1;6;5;27.9;26.82;101.26;92;26.47;0;0;0;2.7
2002/01/06 @ 06:00:00;1;6;6;28.1;26.74;101.27;90;26.3;0;0;0;2.8
2002/01/06 @ 07:00:00;1;6;7;28.6;26.94;101.28;88;26.41;0;0;0;3
2002/01/06 @ 08:00:00;1;6;8;29.3;27.47;101.29;87;26.9;489.35;213;424;3.2
2002/01/06 @ 09:00:00;1;6;9;30.8;27.53;101.27;78;26.51;874.02;581;572;4.4
2002/01/06 @ 10:00:00;1;6;10;32;26.98;101.25;68;25.35;981.41;754;456;6
2002/01/06 @ 11:00:00;1;6;11;32.7;26.35;101.24;61;24.19;997.9;850;296;6.9
2002/01/06 @ 12:00:00;1;6;12;32.7;26.35;101.22;61;24.19;961.76;903;151;6.6
2002/01/06 @ 13:00:00;1;6;13;32.5;26.54;101.21;63;24.54;874.55;680;257;6.2
2002/01/06 @ 14:00:00;1;6;14;32;26.28;101.2;64;24.33;739.49;441;362;6.1
2002/01/06 @ 15:00:00;1;6;15;31.3;26.17;101.15;67;24.44;556.25;195;411;5.7
2002/01/06 @ 16:00:00;1;6;16;30.5;26.12;101.1;71;24.64;325.88;41;302;5.3
2002/01/06 @ 17:00:00;1;6;17;29.7;26.19;101.05;76;25.01;146.04;8;143;4.9
2002/01/06 @ 18:00:00;1;6;18;29;26.3;101.1;81;25.4;43.3;2;43;4.1
2002/01/06 @ 19:00:00;1;6;19;28.3;26.22;101.16;85;25.53;11;1;11;3.2
2002/01/06 @ 20:00:00;1;6;20;27.9;26.4;101.22;89;25.91;0;0;0;2.5
2002/01/06 @ 21:00:00;1;6;21;28;26.5;101.2;89;26.01;0;0;0;2.9
2002/01/06 @ 22:00:00;1;6;22;28;26.64;101.18;90;26.2;0;0;0;2.9
2002/01/06 @ 23:00:00;1;6;23;28.1;26.74;101.16;90;26.3;0;0;0;3
2002/01/07 @ 00:00:00;1;7;0;27.8;26.58;101.13;91;26.19;0;0;0;2.7
2002/01/07 @ 01:00:00;1;7;1;27.4;26.6;101.11;94;26.34;0;0;0;2.1
2002/01/07 @ 02:00:00;1;7;2;27.1;26.44;101.08;95;26.22;0;0;0;2
2002/01/07 @ 03:00:00;1;7;3;26.8;26.28;101.13;96;26.1;0;0;0;1.7
2002/01/07 @ 04:00:00;1;7;4;26.7;26.31;101.18;97;26.18;0;0;0;1.5
2002/01/07 @ 05:00:00;1;7;5;26.8;26.41;101.24;97;26.28;0;0;0;1.5
2002/01/07 @ 06:00:00;1;7;6;27.1;26.44;101.25;95;26.22;0;0;0;1.7
2002/01/07 @ 07:00:00;1;7;7;27.5;26.56;101.26;93;26.26;0;0;0;1.8
2002/01/07 @ 08:00:00;1;7;8;28.3;27.07;101.27;91;26.68;389.84;209;326;2.1
2002/01/07 @ 09:00:00;1;7;9;29.3;27.18;101.24;85;26.51;691.44;579;391;2.5
2002/01/07 @ 10:00:00;1;7;10;30.4;27.16;101.21;78;26.12;750.06;754;225;3.4
2002/01/07 @ 11:00:00;1;7;11;31.6;27.13;101.18;71;25.69;683.07;522;252;4.1
2002/01/07 @ 12:00:00;1;7;12;32.1;27.07;101.11;68;25.44;604.71;239;390;4.6
2002/01/07 @ 13:00:00;1;7;13;32.3;27.07;101.05;67;25.38;534.37;117;428;5.1
2002/01/07 @ 14:00:00;1;7;14;32;26.45;100.98;65;24.59;442.87;57;394;5.5
2002/01/07 @ 15:00:00;1;7;15;31.2;26.42;101;69;24.83;324.92;24;307;5.1
2002/01/07 @ 16:00:00;1;7;16;30.3;26.58;101.01;75;25.37;186.09;7;182;4.7
2002/01/07 @ 17:00:00;1;7;17;29.4;26.52;101.02;80;25.58;81.76;2;81;4.2
2002/01/07 @ 18:00:00;1;7;18;28.8;26.7;101.05;85;26.02;24.15;1;24;3.6
2002/01/07 @ 19:00:00;1;7;19;28.3;26.65;101.08;88;26.11;6;0;6;2.9
2002/01/07 @ 20:00:00;1;7;20;27.9;26.82;101.11;92;26.47;0;0;0;2.4
2002/01/07 @ 21:00:00;1;7;21;27.9;26.82;101.13;92;26.47;0;0;0;2.5
2002/01/07 @ 22:00:00;1;7;22;27.9;26.82;101.14;92;26.47;0;0;0;2.7
2002/01/07 @ 23:00:00;1;7;23;28;26.92;101.15;92;26.57;0;0;0;2.7
2002/01/08 @ 00:00:00;1;8;0;28.2;27.11;101.15;92;26.77;0;0;0;2.5
2002/01/08 @ 01:00:00;1;8;1;28.1;27.02;101.15;92;26.67;0;0;0;2.2
2002/01/08 @ 02:00:00;1;8;2;27.6;26.66;101.16;93;26.36;0;0;0;1.7
2002/01/08 @ 03:00:00;1;8;3;26.9;26.24;101.2;95;26.03;0;0;0;2
2002/01/08 @ 04:00:00;1;8;4;26.2;25.94;101.24;98;25.85;0;0;0;2.1
2002/01/08 @ 05:00:00;1;8;5;25.7;25.7;101.28;100;25.7;0;0;0;2.4
2002/01/08 @ 06:00:00;1;8;6;25.6;25.6;101.24;100;25.6;0;0;0;2.1
2002/01/08 @ 07:00:00;1;8;7;26.1;26.1;101.2;100;26.1;0;0;0;1.7
2002/01/08 @ 08:00:00;1;8;8;26.6;26.6;101.16;100;26.59;96.66;206;34;1.5
2002/01/08 @ 09:00:00;1;8;9;27;26.87;101.16;99;26.82;80.14;8;76;1.7
2002/01/08 @ 10:00:00;1;8;10;27.3;26.77;101.17;96;26.6;83.09;3;81;2.2
2002/01/08 @ 11:00:00;1;8;11;27.5;26.56;101.17;93;26.26;83.65;2;82;2.5
2002/01/08 @ 12:00:00;1;8;12;27.7;26.62;101.14;92;26.27;83.9;1;83;2.5
2002/01/08 @ 13:00:00;1;8;13;27.9;26.68;101.12;91;26.29;84.91;1;84;2.7
2002/01/08 @ 14:00:00;1;8;14;28.1;26.74;101.09;90;26.3;76.86;1;76;2.7
2002/01/08 @ 15:00:00;1;8;15;28.1;26.88;101.07;91;26.48;57.75;1;57;2.9
2002/01/08 @ 16:00:00;1;8;16;28;26.92;101.06;92;26.57;29;0;29;3
2002/01/08 @ 17:00:00;1;8;17;27.8;27;101.04;94;26.74;10;0;10;3
2002/01/08 @ 18:00:00;1;8;18;27.7;26.9;101.05;94;26.64;0;0;0;3.1
2002/01/08 @ 19:00:00;1;8;19;27.7;26.9;101.06;94;26.64;0;0;0;3.1
2002/01/08 @ 20:00:00;1;8;20;27.8;26.86;101.07;93;26.56;0;0;0;3.2
2002/01/08 @ 21:00:00;1;8;21;27.9;26.96;101.08;93;26.66;0;0;0;3
2002/01/08 @ 22:00:00;1;8;22;27.9;27.09;101.08;94;26.84;0;0;0;2.5
2002/01/08 @ 23:00:00;1;8;23;27.7;26.9;101.09;94;26.64;0;0;0;2.2
2002/01/09 @ 00:00:00;1;9;0;27.4;26.87;101.08;96;26.7;0;0;0;2.1
2002/01/09 @ 01:00:00;1;9;1;27.2;26.81;101.07;97;26.68;0;0;0;1.7
2002/01/09 @ 02:00:00;1;9;2;27;26.74;101.07;98;26.65;0;0;0;1.5
2002/01/09 @ 03:00:00;1;9;3;27.1;26.84;101.09;98;26.75;0;0;0;1.7
2002/01/09 @ 04:00:00;1;9;4;27.2;26.94;101.12;98;26.85;0;0;0;2.1
2002/01/09 @ 05:00:00;1;9;5;27.3;27.04;101.14;98;26.95;0;0;0;2.2
2002/01/09 @ 06:00:00;1;9;6;27.4;27;101.19;97;26.87;0;0;0;2.4
2002/01/09 @ 07:00:00;1;9;7;27.6;26.93;101.24;95;26.72;0;0;0;2.5
2002/01/09 @ 08:00:00;1;9;8;28;27.06;101.28;93;26.75;159.19;202;98;2.5
2002/01/09 @ 09:00:00;1;9;9;28.9;27.23;101.28;88;26.7;449.41;577;151;3
2002/01/09 @ 10:00:00;1;9;10;30.2;27.43;101.28;81;26.57;745.78;753;222;3.9
2002/01/09 @ 11:00:00;1;9;11;31.5;27.2;101.27;72;25.83;911.13;850;209;4.9
2002/01/09 @ 12:00:00;1;9;12;31.9;27.4;101.24;71;25.98;926.28;834;176;5.1
2002/01/09 @ 13:00:00;1;9;13;31.9;27.4;101.2;71;25.98;821.07;563;308;5.2
2002/01/09 @ 14:00:00;1;9;14;31.5;27.04;101.16;71;25.6;679.56;311;412;5.1
2002/01/09 @ 15:00:00;1;9;15;30.5;26.93;101.14;76;25.78;500.01;120;410;4.6
2002/01/09 @ 16:00:00;1;9;16;29.6;27.02;101.12;82;26.19;283.7;25;269;4.6
2002/01/09 @ 17:00:00;1;9;17;28.9;26.94;101.1;86;26.31;119.93;5;118;4.2
2002/01/09 @ 18:00:00;1;9;18;28.2;26.55;101.15;88;26.02;30.16;1;30;3.6
2002/01/09 @ 19:00:00;1;9;19;27.9;26.54;101.2;90;26.1;7;0;7;3.3
2002/01/09 @ 20:00:00;1;9;20;27.7;26.62;101.24;92;26.27;0;0;0;3
2002/01/09 @ 21:00:00;1;9;21;27.6;26.53;101.27;92;26.18;0;0;0;2.8
2002/01/09 @ 22:00:00;1;9;22;27.7;26.62;101.3;92;26.27;0;0;0;2.7
2002/01/09 @ 23:00:00;1;9;23;27.8;26.72;101.33;92;26.37;0;0;0;2.7
2002/01/10 @ 00:00:00;1;10;0;28.1;26.88;101.31;91;26.48;0;0;0;2.8
2002/01/10 @ 01:00:00;1;10;1;28.3;26.93;101.3;90;26.49;0;0;0;2.9
2002/01/10 @ 02:00:00;1;10;2;28.3;26.65;101.28;88;26.11;0;0;0;3
2002/01/10 @ 03:00:00;1;10;3;28.1;26.74;101.29;90;26.3;0;0;0;2.9
2002/01/10 @ 04:00:00;1;10;4;27.9;26.68;101.29;91;26.29;0;0;0;2.5
2002/01/10 @ 05:00:00;1;10;5;27.8;26.72;101.29;92;26.37;0;0;0;2.4
2002/01/10 @ 06:00:00;1;10;6;28.3;26.51;101.34;87;25.92;0;0;0;2.7
2002/01/10 @ 07:00:00;1;10;7;29.5;26.62;101.39;80;25.68;0;0;0;3.4
2002/01/10 @ 08:00:00;1;10;8;30.6;26.38;101.44;72;24.97;420.05;199;360;4.1
2002/01/10 @ 09:00:00;1;10;9;31.4;26.44;101.41;68;24.78;789.93;575;493;4.6
2002/01/10 @ 10:00:00;1;10;10;32.1;26.37;101.39;64;24.43;941.86;752;419;5.3
2002/01/10 @ 11:00:00;1;10;11;32.5;26.18;101.36;61;24.01;991.3;850;289;6
2002/01/10 @ 12:00:00;1;10;12;32.5;25.99;101.3;60;23.73;965.87;904;152;6.2
2002/01/10 @ 13:00:00;1;10;13;32.3;25.82;101.24;60;23.54;871.6;667;263;6.6
2002/01/10 @ 14:00:00;1;10;14;31.9;25.47;101.18;60;23.17;736.55;423;372;6.6
2002/01/10 @ 15:00:00;1;10;15;31.2;25.56;101.18;64;23.58;557.11;189;415;6.1
