Time;MM;DD;hh;T_dry;T_wb;P;RH;T_dp;ghi;dni;dhi;v_wind
2002/02/27 @ 02:00:00;2;27;2;-1.8;-3.23;101.98;73;-5.51;0;0;0;5.5
2002/02/27 @ 03:00:00;2;27;3;-2.3;-3.63;102.18;74;-5.84;0;0;0;4.9
2002/02/27 @ 04:00:00;2;27;4;-2.4;-3.62;102.26;76;-5.63;0;0;0;4.9
2002/02/27 @ 05:00:00;2;27;5;-2.4;-3.57;102.42;77;-5.48;0;0;0;4.9
2002/02/27 @ 06:00:00;2;27;6;-2.3;-3.48;102.48;77;-5.38;0;0;0;5.1
2002/02/27 @ 07:00:00;2;27;7;-2.7;-3.9;102.61;76;-5.92;29.85;127;25;4.6
2002/02/27 @ 08:00:00;2;27;8;-3;-4.28;102.79;74;-6.52;71.13;36;65;4.6
2002/02/27 @ 09:00:00;2;27;9;-3.3;-4.51;102.79;75;-6.66;116.6;34;107;4.3
2002/02/27 @ 10:00:00;2;27;10;-3;-4.13;102.69;77;-6.06;179.03;60;157;4.3
2002/02/27 @ 11:00:00;2;27;11;-2.9;-4.04;102.7;77;-5.97;271.94;179;197;4.1
2002/02/27 @ 12:00:00;2;27;12;-2.9;-4.04;102.78;77;-5.97;368.5;481;160;3.9
2002/02/27 @ 13:00:00;2;27;13;-2.8;-3.94;102.75;77;-5.87;291.88;253;188;3.9
2002/02/27 @ 14:00:00;2;27;14;-2.9;-4.09;102.82;76;-6.12;165.63;53;147;3.7
2002/02/27 @ 15:00:00;2;27;15;-2.8;-3.89;102.83;78;-5.72;101.29;28;94;3.9
2002/02/27 @ 16:00:00;2;27;16;-2.8;-3.79;102.78;80;-5.42;53.87;27;50;3.7
2002/02/27 @ 17:00:00;2;27;17;-3.1;-4.07;102.88;80;-5.72;0;0;0;3.5
2002/02/27 @ 18:00:00;2;27;18;-3.1;-4.32;103.12;75;-6.47;0;0;0;3.9
2002/02/27 @ 19:00:00;2;27;19;-3.8;-5.12;103.02;72;-7.62;0;0;0;3.9
2002/02/27 @ 20:00:00;2;27;20;-3.4;-4.99;103.18;67;-8.06;0;0;0;3.7
2002/02/27 @ 21:00:00;2;27;21;-3.3;-5.05;103.2;64;-8.48;0;0;0;3.7
2002/02/27 @ 22:00:00;2;27;22;-3.3;-5;103.17;65;-8.31;0;0;0;3.6
2002/02/27 @ 23:00:00;2;27;23;-3.6;-5.18;103.05;67;-8.25;0;0;0;3.5
2002/02/28 @ 00:00:00;2;28;0;-3.6;-5.13;102.99;68;-8.08;0;0;0;3.7
2002/02/28 @ 01:00:00;2;28;1;-3.8;-5.31;102.97;68;-8.27;0;0;0;3.9
2002/02/28 @ 02:00:00;2;28;2;-3.8;-5.12;102.92;72;-7.62;0;0;0;3.8
2002/02/28 @ 03:00:00;2;28;3;-3.1;-4.27;102.63;76;-6.31;0;0;0;3.6
2002/02/28 @ 04:00:00;2;28;4;-2.9;-3.89;102.56;80;-5.52;0;0;0;3.3
2002/02/28 @ 05:00:00;2;28;5;-3;-4.23;102.6;75;-6.37;0;0;0;3.4
2002/02/28 @ 06:00:00;2;28;6;-3.1;-4.47;102.64;72;-6.94;0;0;0;3.7
2002/02/28 @ 07:00:00;2;28;7;-3.1;-4.52;102.75;71;-7.1;38.18;140;32;4.4
2002/02/28 @ 08:00:00;2;28;8;-2.9;-4.34;102.65;71;-6.91;94.69;89;79;4.7
2002/02/28 @ 09:00:00;2;28;9;-2.8;-4.2;102.36;72;-6.65;185.77;176;135;4.9
2002/02/28 @ 10:00:00;2;28;10;-2.5;-3.87;102.22;73;-6.2;278.57;307;164;5.3
2002/02/28 @ 11:00:00;2;28;11;-2.4;-3.78;102.17;73;-6.1;353.52;451;162;5.6
2002/02/28 @ 12:00:00;2;28;12;-1.8;-3.23;102.06;73;-5.51;396.28;581;141;5.6
2002/02/28 @ 13:00:00;2;28;13;-1.6;-3.1;102.08;72;-5.48;356.51;496;150;5.5
2002/02/28 @ 14:00:00;2;28;14;-1.6;-3.04;101.92;73;-5.32;232.36;183;167;5.7
2002/02/28 @ 15:00:00;2;28;15;-1.6;-2.88;101.69;76;-4.85;110.3;35;101;5.7
2002/02/28 @ 16:00:00;2;28;16;-1.1;-1.8;101.95;87;-2.76;46.08;14;44;5.6
2002/02/28 @ 17:00:00;2;28;17;-1.5;-1.66;101.9;97;-1.86;0;0;0;4.6
2002/02/28 @ 18:00:00;2;28;18;-1.7;-1.86;101.92;97;-2.06;0;0;0;4.3
2002/02/28 @ 19:00:00;2;28;19;-1.6;-1.7;101.89;98;-1.84;0;0;0;3.8
2002/02/28 @ 20:00:00;2;28;20;-1.6;-1.7;101.86;98;-1.84;0;0;0;3.7
2002/02/28 @ 21:00:00;2;28;21;-1.7;-1.8;101.87;98;-1.94;0;0;0;3.6
2002/02/28 @ 22:00:00;2;28;22;-1.8;-2.11;101.77;94;-2.53;0;0;0;3.4
2002/02/28 @ 23:00:00;2;28;23;-4.4;-5.88;101.33;68;-8.85;0;0;0;3.6
2002/03/01 @ 00:00:00;3;1;0;-4.7;-6.1;101.33;69;-8.98;0;0;0;3.6
2002/03/01 @ 01:00:00;3;1;1;-4.6;-5.92;101.22;71;-8.56;0;0;0;3.9
2002/03/01 @ 02:00:00;3;1;2;-5.1;-6.34;101.19;72;-8.88;0;0;0;3.8
2002/03/01 @ 03:00:00;3;1;3;-5.3;-6.57;101.14;71;-9.24;0;0;0;3.9
2002/03/01 @ 04:00:00;3;1;4;-5.6;-6.93;101.28;69;-9.85;0;0;0;4.1
2002/03/01 @ 05:00:00;3;1;5;-6.1;-7.22;101.21;73;-9.7;0;0;0;3.6
2002/03/01 @ 06:00:00;3;1;6;-6.4;-7.42;101.2;75;-9.69;0;0;0;3.2
2002/03/01 @ 07:00:00;3;1;7;-6.7;-7.7;101.1;75;-9.98;61.67;153;54;3.5
2002/03/01 @ 08:00:00;3;1;8;-6.7;-7.7;101.1;75;-9.98;139.72;344;77;3.9
2002/03/01 @ 09:00:00;3;1;9;-6.3;-7.29;100.97;76;-9.44;233.41;385;120;4
2002/03/01 @ 10:00:00;3;1;10;-6;-7.01;100.98;76;-9.15;337.39;560;125;4.3
2002/03/01 @ 11:00:00;3;1;11;-5.4;-6.53;100.98;74;-8.86;421.86;680;129;4.5
